Kingdom,Phylum,Class,Genus,Taxon,Algal Type,Authority,Authority Source,Current Name,Synonym Authority,Synonym Authority Source,Taxonomic Classification Source,Growth Habit,Habitat Type,Salinity Range
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus falcatus,Green Alga,(Corda) Ralfs,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Ankistrodesmus,Ankistrodesmus sp.,Green Alga,Corda,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,solitary or colonial,planktonic,freshwater or terrestrial
Plantae,Chlorophyta,Chlorophyceae,Ankyra,Ankyra ancora,Green Alga,(G.M. Smith) Fott,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Ankyra,Ankyra sp.,Green Alga,Fott,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis capitata,Pennate Diatom,Bahls,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic or benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Anomoeoneis,Anomoeoneis sp.,Pennate Diatom,Pfitzer,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon cf. klebahnii,Cyanobacterium,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon cf. yezoense,Cyanobacterium,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon flos-aquae,Cyanobacterium,Ralfs ex Bornet and Flahaut,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon klebahnii,Cyanobacterium,Elenkin ex Pechar,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,Cyanobacterium,Morren ex Bornet et Flahault,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,filamentous,planktonic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Aphanocapsa,Aphanocapsa cf. delicatissima,Cyanobacterium,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanocapsa,Aphanocapsa sp.,Cyanobacterium,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanothece,Aphanothece endophytica,Cyanobacterium,(West and G.S. West) J. Komárková-Legnerová and G. Cronberg,www.algaebase.org,Anathece endophytica,"(W. and G.S. West) Komárek, Kastovsky and Jezberová",www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Bacteria,Cyanobacteria,Cyanophyceae,Aphanothece,Aphanothece sp.,Cyanobacterium,Nägeli,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater to marine
Chromista,Ochrophyta,Xanthophyceae,Arachnochloris,Arachnochloris minor,Xanthophyte,Pascher,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Xanthophyceae,Arachnochloris,Arachnochloris sp.,Xanthophyte,Pascher,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Asterionella,Asterionella formosa,Pennate Diatom,Hassall,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Fragilariophyceae,Asterionella,Asterionella sp.,Pennate Diatom,Hassall,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Fragilariophyceae,Asterionellopsis,Asterionellopsis glacialis,Pennate Diatom,(Castracane) Round,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Asteromphalus,Asteromphalus sp.,Centric Diatom,Ehrenberg,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Coscinodiscophyceae,Attheya,Attheya sp.,Centric Diatom,West,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Coscinodiscophyceae,Attheya,Attheya zachariasii,Centric Diatom,Brun,www.algaebase.org,Acanthoceras zachariasii,(Brun) Simonsen,www.algaebase.org,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira alpigena,Centric Diatom,(Grunow) Krammer,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira ambigua,Centric Diatom,(Grunow) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. granulata,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. granulata var. angustissima,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. herzogii,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira cf. pusilla,Centric Diatom,Unknown,Unknown,Unknown,Unknown,Unknown,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira distans,Centric Diatom,(Ehrenberg) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira granulata,Centric Diatom,(Ehrenberg) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira granulata var. angustissima,Centric Diatom,(O. Müller) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic or benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira italica,Centric Diatom,(Ehrenberg) Simonsen,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira pusilla,Centric Diatom,(F. Meister) A. Tuji & A. Houki,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Aulacoseira,Aulacoseira sp.,Centric Diatom,Thwaites,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,freshwater to marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paradoxa,Pennate Diatom,J.F. Gmelin,www.algaebase.org,Bacillaria paxillifera,(O.F. Müller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifer,Pennate Diatom,(O.F. Müller) T. Marsson,www.algaebase.org,Bacillaria paxillifera,(O.F. Müller) T. Marsson,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria paxillifera,Pennate Diatom,(O.F. Müller) T. Marsson,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,marine
Chromista,Ochrophyta,Bacillariophyceae,Bacillaria,Bacillaria sp.,Pennate Diatom,Gmelin,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,freshwater to marine
Plantae,Rhodophyta,Bangiophyceae,Bangia,Bangia atropurpurea,Red Alga,(Mertens ex Roth) C. Agardh,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Biddulphia,Biddulphia laevis,Centric Diatom,Ehrenberg,www.algaebase.org,Pleurosira laevis,(Ehrenberg) Compère,www.algaebase.org,Cavalier-Smith 1998,colonial,benthic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Biddulphia,Biddulphia sp.,Centric Diatom,S.F. Gray,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,benthic,marine
Plantae,Chlorophyta,Chlorophyceae,Botryococcus,Botryococcus sp.,Green Alga,Kützing,Wehr and Sheath 2003,None,N/A,N/A,Wehr and Sheath 2003,colonial,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis amphisbaena,Pennate Diatom,(Bory de Saint Vincent) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis schumanniana,Pennate Diatom,(Grunow) Cleve,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Caloneis,Caloneis sp.,Pennate Diatom,Cleve,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater to marine
Bacteria,Cyanobacteria,Cyanophyceae,Calothrix,Calothrix braunii,Cyanobacterium,Bornet and Flahault,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,filamentous,benthic,freshwater
Chromista,Haptophyta,Coccolithophyceae,Calyptrosphaera,Calyptrosphaera sp.,Coccolithophore,Lohmann,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
Chromista,Ochrophyta,Bacillariophyceae,Campylodiscus,Campylodiscus hibernicus,Pennate Diatom,Ehrenberg,www.algaebase.org,Iconella hibernica,(Ehrenberg) Ruck and Nakov,www.algaebase.org,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Bacillariophyceae,Campylodiscus,Campylodiscus sp.,Pennate Diatom,Ehrenberg ex Kützing,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,benthic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria cordiformis,Green Alga,(Carter) Diesing,www.algaebase.org,Tetraselmis cordiformis,(H.J. Carter) F. Stein,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria klebsii,Green Alga,(P.A. Dangeard) Francé,www.algaebase.org,None,N/A,N/A,Wehr and Sheath 2003,solitary,planktonic,freshwater
Plantae,Chlorophyta,Chlorophyceae,Carteria,Carteria sp.,Green Alga,Diesing,Wehr and Sheath 2003,Tetraselmis sp.,F. Stein,www.algaebase.org,Wehr and Sheath 2003,solitary,planktonic,freshwater
Chromista,Ochrophyta,Xanthophyceae,Centritractus,Centritractus sp.,Xanthophyte,Lemmermann,Wehr and Sheath 2003,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,freshwater
Chromista,Ochrophyta,Coscinodiscophyceae,Cerataulina,Cerataulina sp.,Centric Diatom,Peragallo ex Schütt,www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,colonial,planktonic,brackish to marine
Protozoa,Dinozoa,Dinophyceae,Ceratium,Ceratium divaricatum,Dinoflagellate,Lemmermann (Kofoid),www.algaebase.org,None,N/A,N/A,Cavalier-Smith 1998,solitary,planktonic,marine
