Date,Flashboards,Gate1,Gate2,Gate3,Remark,Operating
1/31/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/7/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/8/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/9/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/10/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/11/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/12/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/13/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/14/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/15/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/16/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/17/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/18/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/19/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/20/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/21/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/22/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/23/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/24/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/25/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
2/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/7/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/8/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/9/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/10/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/11/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/12/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/13/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/14/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/15/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/16/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/17/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/18/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/19/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/20/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/21/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/22/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/23/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/24/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/25/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/29/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/30/1989,IN,OP,OP,OP,full bore operation,Operating normally
3/31/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
4/7/1989,OUT,O,O,O,3 gates held open,Open
4/8/1989,OUT,O,O,O,3 gates held open,Open
4/9/1989,OUT,O,O,O,3 gates held open,Open
4/10/1989,OUT,O,O,O,3 gates held open,Open
4/11/1989,OUT,O,O,O,3 gates held open,Open
4/12/1989,OUT,O,O,O,3 gates held open,Open
4/13/1989,OUT,O,O,O,3 gates held open,Open
4/14/1989,OUT,O,O,O,3 gates held open,Open
4/15/1989,OUT,O,O,O,3 gates held open,Open
4/16/1989,OUT,O,O,O,3 gates held open,Open
4/17/1989,OUT,O,O,O,3 gates held open,Open
4/18/1989,OUT,O,O,O,3 gates held open,Open
4/19/1989,OUT,O,O,O,3 gates held open,Open
4/20/1989,OUT,O,O,O,3 gates held open,Open
4/21/1989,OUT,O,O,O,3 gates held open,Open
4/22/1989,OUT,O,O,O,3 gates held open,Open
4/23/1989,OUT,O,O,O,3 gates held open,Open
4/24/1989,OUT,O,O,O,3 gates held open,Open
4/25/1989,OUT,O,O,O,3 gates held open,Open
4/26/1989,OUT,O,O,O,3 gates held open,Open
4/27/1989,OUT,O,O,O,3 gates held open,Open
4/28/1989,OUT,O,O,O,3 gates held open,Open
4/29/1989,OUT,O,O,O,3 gates held open,Open
4/30/1989,OUT,O,O,O,3 gates held open,Open
5/1/1989,OUT,O,O,O,3 gates held open,Open
5/2/1989,OUT,O,O,O,3 gates held open,Open
5/3/1989,OUT,O,O,O,3 gates held open,Open
5/4/1989,OUT,O,O,O,3 gates held open,Open
5/5/1989,OUT,O,O,O,3 gates held open,Open
5/6/1989,OUT,O,O,O,3 gates held open,Open
5/7/1989,OUT,O,O,O,3 gates held open,Open
5/8/1989,OUT,O,O,O,3 gates held open,Open
5/9/1989,OUT,O,O,O,3 gates held open,Open
5/10/1989,OUT,O,O,O,3 gates held open,Open
5/11/1989,OUT,O,O,O,3 gates held open,Open
5/12/1989,OUT,O,O,O,3 gates held open,Open
5/13/1989,OUT,O,O,O,3 gates held open,Open
5/14/1989,OUT,O,O,O,3 gates held open,Open
5/15/1989,OUT,O,O,O,3 gates held open,Open
5/16/1989,OUT,O,O,O,3 gates held open,Open
5/17/1989,OUT,O,O,O,3 gates held open,Open
5/18/1989,OUT,O,O,O,3 gates held open,Open
5/19/1989,OUT,O,O,O,3 gates held open,Open
5/20/1989,OUT,O,O,O,3 gates held open,Open
5/21/1989,OUT,O,O,O,3 gates held open,Open
5/22/1989,OUT,O,O,O,3 gates held open,Open
5/23/1989,OUT,O,O,O,3 gates held open,Open
5/24/1989,OUT,O,O,O,3 gates held open,Open
5/25/1989,OUT,O,O,O,3 gates held open,Open
5/26/1989,OUT,O,O,O,3 gates held open,Open
5/27/1989,OUT,O,O,O,3 gates held open,Open
5/28/1989,OUT,O,O,O,3 gates held open,Open
5/29/1989,OUT,O,O,O,3 gates held open,Open
5/30/1989,OUT,O,O,O,3 gates held open,Open
5/31/1989,OUT,O,O,O,3 gates held open,Open
6/1/1989,OUT,O,O,O,3 gates held open,Open
6/2/1989,OUT,O,O,O,3 gates held open,Open
6/3/1989,OUT,O,O,O,3 gates held open,Open
6/4/1989,OUT,O,O,O,3 gates held open,Open
6/5/1989,OUT,O,O,O,3 gates held open,Open
6/6/1989,OUT,O,O,O,3 gates held open,Open
6/7/1989,OUT,O,O,O,3 gates held open,Open
6/8/1989,OUT,O,O,O,3 gates held open,Open
6/9/1989,OUT,O,O,O,3 gates held open,Open
6/10/1989,OUT,O,O,O,3 gates held open,Open
6/11/1989,OUT,O,O,O,3 gates held open,Open
6/12/1989,OUT,O,O,O,3 gates held open,Open
6/13/1989,OUT,O,O,O,3 gates held open,Open
6/14/1989,OUT,O,O,O,3 gates held open,Open
6/15/1989,OUT,O,O,O,3 gates held open,Open
6/16/1989,OUT,O,O,O,3 gates held open,Open
6/17/1989,OUT,O,O,O,3 gates held open,Open
6/18/1989,OUT,O,O,O,3 gates held open,Open
6/19/1989,OUT,O,O,O,3 gates held open,Open
6/20/1989,OUT,O,O,O,3 gates held open,Open
6/21/1989,OUT,O,O,O,3 gates held open,Open
6/22/1989,OUT,O,O,O,3 gates held open,Open
6/23/1989,OUT,O,O,O,3 gates held open,Open
6/24/1989,OUT,O,O,O,3 gates held open,Open
6/25/1989,OUT,O,O,O,3 gates held open,Open
6/26/1989,OUT,O,O,O,3 gates held open,Open
6/27/1989,OUT,O,O,O,3 gates held open,Open
6/28/1989,OUT,O,O,O,3 gates held open,Open
6/29/1989,OUT,O,O,O,3 gates held open,Open
6/30/1989,OUT,O,O,O,3 gates held open,Open
7/1/1989,OUT,O,O,O,3 gates held open,Open
7/2/1989,OUT,O,O,O,3 gates held open,Open
7/3/1989,OUT,O,O,O,3 gates held open,Open
7/4/1989,OUT,O,O,O,3 gates held open,Open
7/5/1989,OUT,O,O,O,3 gates held open,Open
7/6/1989,OUT,O,O,O,3 gates held open,Open
7/7/1989,OUT,O,O,O,3 gates held open,Open
7/8/1989,OUT,O,O,O,3 gates held open,Open
7/9/1989,OUT,O,O,O,3 gates held open,Open
7/10/1989,OUT,O,O,O,3 gates held open,Open
7/11/1989,OUT,O,O,O,3 gates held open,Open
7/12/1989,OUT,O,O,O,3 gates held open,Open
7/13/1989,OUT,O,O,O,3 gates held open,Open
7/14/1989,OUT,O,O,O,3 gates held open,Open
7/15/1989,OUT,O,O,O,3 gates held open,Open
7/16/1989,OUT,O,O,O,3 gates held open,Open
7/17/1989,OUT,O,O,O,3 gates held open,Open
7/18/1989,OUT,O,O,O,3 gates held open,Open
7/19/1989,OUT,O,O,O,3 gates held open,Open
7/20/1989,OUT,O,O,O,3 gates held open,Open
7/21/1989,OUT,O,O,O,3 gates held open,Open
7/22/1989,OUT,O,O,O,3 gates held open,Open
7/23/1989,OUT,O,O,O,3 gates held open,Open
7/24/1989,OUT,O,O,O,3 gates held open,Open
7/25/1989,OUT,O,O,O,3 gates held open,Open
7/26/1989,OUT,O,O,O,3 gates held open,Open
7/27/1989,OUT,O,O,O,3 gates held open,Open
7/28/1989,OUT,O,O,O,3 gates held open,Open
7/29/1989,OUT,O,O,O,3 gates held open,Open
7/30/1989,OUT,O,O,O,3 gates held open,Open
7/31/1989,OUT,O,O,O,3 gates held open,Open
8/1/1989,OUT,O,O,O,3 gates held open,Open
8/2/1989,OUT,O,O,O,3 gates held open,Open
8/3/1989,OUT,O,O,O,3 gates held open,Open
8/4/1989,OUT,O,O,O,3 gates held open,Open
8/5/1989,OUT,O,O,O,3 gates held open,Open
8/6/1989,OUT,O,O,O,3 gates held open,Open
8/7/1989,OUT,O,O,O,3 gates held open,Open
8/8/1989,OUT,O,O,O,3 gates held open,Open
8/9/1989,OUT,O,O,O,3 gates held open,Open
8/10/1989,OUT,O,O,O,3 gates held open,Open
8/11/1989,OUT,O,O,O,3 gates held open,Open
8/12/1989,OUT,O,O,O,3 gates held open,Open
8/13/1989,OUT,O,O,O,3 gates held open,Open
8/14/1989,OUT,O,O,O,3 gates held open,Open
8/15/1989,OUT,O,O,O,3 gates held open,Open
8/16/1989,OUT,O,O,O,3 gates held open,Open
8/17/1989,OUT,O,O,O,3 gates held open,Open
8/18/1989,OUT,O,O,O,3 gates held open,Open
8/19/1989,OUT,O,O,O,3 gates held open,Open
8/20/1989,OUT,O,O,O,3 gates held open,Open
8/21/1989,OUT,O,O,O,3 gates held open,Open
8/22/1989,OUT,O,O,O,3 gates held open,Open
8/23/1989,OUT,O,O,O,3 gates held open,Open
8/24/1989,OUT,O,O,O,3 gates held open,Open
8/25/1989,OUT,O,O,O,3 gates held open,Open
8/26/1989,OUT,O,O,O,3 gates held open,Open
8/27/1989,OUT,O,O,O,3 gates held open,Open
8/28/1989,OUT,O,O,O,3 gates held open,Open
8/29/1989,OUT,O,O,O,3 gates held open,Open
8/30/1989,OUT,O,O,O,3 gates held open,Open
8/31/1989,OUT,O,O,O,3 gates held open,Open
9/1/1989,OUT,O,O,O,3 gates held open,Open
9/2/1989,OUT,O,O,O,3 gates held open,Open
9/3/1989,OUT,O,O,O,3 gates held open,Open
9/4/1989,OUT,O,O,O,3 gates held open,Open
9/5/1989,OUT,O,O,O,3 gates held open,Open
9/6/1989,OUT,O,O,O,3 gates held open,Open
9/7/1989,OUT,O,O,O,3 gates held open,Open
9/8/1989,OUT,O,O,O,3 gates held open,Open
9/9/1989,OUT,O,O,O,3 gates held open,Open
9/10/1989,OUT,O,O,O,3 gates held open,Open
9/11/1989,OUT,O,O,O,3 gates held open,Open
9/12/1989,OUT,O,O,O,3 gates held open,Open
9/13/1989,OUT,O,O,O,3 gates held open,Open
9/14/1989,OUT,O,O,O,3 gates held open,Open
9/15/1989,OUT,O,O,O,3 gates held open,Open
9/16/1989,OUT,O,O,O,3 gates held open,Open
9/17/1989,OUT,O,O,O,3 gates held open,Open
9/18/1989,OUT,O,O,O,3 gates held open,Open
9/19/1989,OUT,O,O,O,3 gates held open,Open
9/20/1989,OUT,O,O,O,3 gates held open,Open
9/21/1989,OUT,O,O,O,3 gates held open,Open
9/22/1989,OUT,O,O,O,3 gates held open,Open
9/23/1989,OUT,O,O,O,3 gates held open,Open
9/24/1989,OUT,O,O,O,3 gates held open,Open
9/25/1989,OUT,O,O,O,3 gates held open,Open
9/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
9/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
9/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
9/29/1989,IN,OP,OP,OP,full bore operation,Operating normally
9/30/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/7/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/8/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/9/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/10/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/11/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/12/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/13/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/14/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/15/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/16/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/17/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/18/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/19/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/20/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/21/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/22/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/23/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/24/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/25/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/29/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/30/1989,IN,OP,OP,OP,full bore operation,Operating normally
10/31/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/7/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/8/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/9/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/10/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/11/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/12/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/13/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/14/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/15/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/16/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/17/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/18/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/19/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/20/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/21/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/22/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/23/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/24/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/25/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/29/1989,IN,OP,OP,OP,full bore operation,Operating normally
11/30/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/1/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/2/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/3/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/4/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/5/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/6/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/7/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/8/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/9/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/10/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/11/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/12/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/13/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/14/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/15/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/16/1989,IN,O,O,O,3 gates held open for gate test # 5,Open with flashboards in
12/17/1989,IN,C,C,C,3 gates closed for gate test # 5,Closed with flashboards in
12/18/1989,IN,C,C,C,3 gates closed for gate test # 5,Closed with flashboards in
12/19/1989,IN,C,C,C,3 gates closed for gate test # 5,Closed with flashboards in
12/20/1989,IN,C,C,C,3 gates closed for gate test # 5,Closed with flashboards in
12/21/1989,IN,C,C,C,3 gates closed for gate test # 5,Closed with flashboards in
12/22/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/23/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/24/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/25/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/26/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/27/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/28/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/29/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/30/1989,IN,OP,OP,OP,full bore operation,Operating normally
12/31/1989,IN,OP,OP,OP,full bore operation,Operating normally
1/1/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/2/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/3/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/4/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/5/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/6/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/7/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/8/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/9/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/10/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/11/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/12/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/13/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/14/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/15/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/16/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/17/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/18/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/19/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/20/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/21/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/22/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/23/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/24/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/25/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/26/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/27/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/28/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/29/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/30/1990,IN,OP,OP,OP,full bore operation,Operating normally
1/31/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/1/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/2/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/3/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/4/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/5/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/6/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/7/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/8/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/9/1990,IN,OP,OP,OP,full bore operation,Operating normally
2/10/1990,IN,OP,OP,OP,full bore operation,Operating normally
