Date,Day,Stratum,Start Latitude,Start Longitude,Station Code,Region,Sub-Region,Time Start,Avg E/C (µS),Avg Temp (°C),Avg Turbidity (NTU),Avg Secchi (M),Avg Start Depth (M),Method,Number of Tows,TowDuration,TowDirection,Species,Catch,FL Range (mm),Expression,Stage,Mark,Comments
6/30/2020,Tues,Lower Sacramento,38.16143,-121.68271,20-49-RV01,North,Sacramento River near Rio Vista,11:48,141.88,23.23,7.84,1.42,10.3,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/30/2020,Tues,Lower Sacramento,38.09398,-121.73189,20-49-RV02,North,Sacramento River near Rio Vista,10:09,166.05,22.95,7.03,1.38,8.03,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/30/2020,Tues,Suisun Marsh,38.11697,-122.06106,20-49-SM03,West,Suisun Marsh,8:13,13457.75,21.08,69.4,0.25,4.2,Kodiak,4,10,D,LFS,1,37,n/p,n/p,n/p,
6/30/2020,Tues,Suisun Marsh,38.16066,-122.04684,20-49-SM04,West,Suisun Marsh,9:33,12939.25,21.73,47.75,0.31,6.45,Kodiak,4,10,D,LFS,1,47,n/p,n/p,n/p,Tow 1 was code 2 (Twist in net)
6/30/2020,Tues,Suisun Marsh,38.15317,-121.91988,20-49-SM05,West,Suisun Marsh,11:03,7124.5,22.03,31.55,0.39,3.98,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/30/2020,Tues,Cache Slough and Liberty Island,38.24962,-121.6743,20-49-CS04,North,Cache Slough/Liberty Island,8:40,161.83,21.45,12.98,0.91,9.08,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
6/30/2020,Tues,Cache Slough and Liberty Island,38.28594,-121.71787,20-49-CS06,North,Cache Slough/Liberty Island,8:16,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too Shallow
6/30/2020,Tues,Cache Slough and Liberty Island,38.28007,-121.66555,20-49-CS07,North,Cache Slough/Liberty Island,10:04,172.68,21.43,12.35,0.93,5.08,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
6/30/2020,Tues,Cache Slough and Liberty Island,38.37251,-121.63392,20-49-CS05,North,Cache Slough/Liberty Island,11:55,191.85,23.7,37.45,0.34,2.9,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Knot in net)
7/1/2020,Wed,Lower San Joaquin,38.02597,-121.74995,20-49-LSJ01,West,Lower San Joaquin River,9:58,333.63,23.3,8.75,1.33,8.8,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Twist in net)
7/1/2020,Wed,Lower San Joaquin,38.02148,-121.79802,20-49-LSJ02,West,Lower San Joaquin River,8:36,629,23.05,12.07,0.97,5.45,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/1/2020,Wed,Lower San Joaquin,38.05086,-121.69472,20-49-LSJ03,West,Lower San Joaquin River,11:28,264.43,23.7,7.55,1.36,13.08,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/1/2020,Wed,Suisun Bay,38.07081,-121.84149,20-49-CF01,West,Confluence,11:10,1618.5,21.9,28.45,0.48,6.1,Kodiak,2,10,D,DSM,2,41-47,n/p,n/p,n/p,DSM flash frozen for UCDavis
7/1/2020,Wed,Suisun Bay,38.04973,-121.94454,20-49-HB01,West,Honker Bay,9:36,4846.25,21.75,24.05,0.52,14.2,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/1/2020,Wed,Suisun Bay,38.05665,-122.08449,20-49-SBW01,Far West,West Suisun Bay,8:05,14290,21.08,32.65,0.46,7.7,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/1/2020,Wed,Sac Deep Water Shipping Channel,38.20941,-121.66187,20-49-LSSC01,North,Lower Sacramento River Shipping Channel,7:59,143.7,22.88,7.97,1.47,12.63,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/1/2020,Wed,Sac Deep Water Shipping Channel,38.35693,-121.63733,20-49-LSSC02,North,Lower Sacramento River Shipping Channel,9:38,493.5,22.68,37.63,0.3,9.98,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,"Tow 2 was code 2 (Distance from site exceeded target distance, was 0.6 mi at stop)"
7/1/2020,Wed,Sac Deep Water Shipping Channel,38.48283,-121.58464,20-49-USSC01,North,Upper Sacramento River Shipping Channel,11:20,910.75,24,16.45,0.57,9.38,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/1/2020,Wed,Sac Deep Water Shipping Channel,38.51997,-121.58454,20-49-USSC02,North,Upper Sacramento River Shipping Channel,12:37,986.5,24.83,11.05,0.8,10.33,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/2/2020,Thurs,Suisun Bay,38.05534,-121.99663,20-49-SBM01,West,Mid Suisun Bay,8:06,10337,21.25,44.23,0.41,3.95,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/2/2020,Thurs,Suisun Bay,38.06386,-121.96077,20-49-HB02,West,Honker Bay,9:21,7278.75,21.35,51.2,0.33,3.2,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Twist in net)
7/2/2020,Thurs,Suisun Bay,38.04556,-121.8782,20-49-CF02,West,Confluence,10:42,3110,22.1,21.35,0.6,6.38,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,Tows 1 and 2 were code 2 (Partial net blockage due to vegetation)
7/2/2020,Thurs,Sac Deep Water Shipping Channel,38.33466,-121.64664,20-49-LSSC05,North,Lower Sacramento River Shipping Channel,8:19,335.1,22.5,24.5,0.42,4.85,Kodiak,4,10,U,DSM,1,45,n/p,n/p,n/p,DSM flash frozen for UCD; 2 Wakasagi (60-63mm) retained for verification
7/2/2020,Thurs,Sac Deep Water Shipping Channel,38.27535,-121.66117,20-49-LSSC03,North,Lower Sacramento River Shipping Channel,9:33,221.33,22.8,13.65,0.81,10.65,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/2/2020,Thurs,Sac Deep Water Shipping Channel,38.18678,-121.6603,20-49-LSSC04,North,Lower Sacramento River Shipping Channel,11:13,139,22.9,7.22,1.57,16.65,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/2/2020,Thurs,Lower San Joaquin,38.06522,-121.55267,20-49-PP02,South ,San Joaquin River at Prisoners Pt,9:34,183.58,24.08,4.18,1.8,8.78,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/2/2020,Thurs,Lower San Joaquin,38.10196,-121.60352,20-49-PP03,South ,San Joaquin River at Prisoners Pt,10:59,175.68,24.05,6.24,1.8,11.83,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,"Tow 4 was code 2 (Distance from site exceeded target distance, was 0.57 mi at stop)"
7/2/2020,Thurs,Lower San Joaquin,38.09411,-121.57542,20-49-PP01,South ,San Joaquin River at Prisoners Pt,12:13,178.5,24.3,18.15,1.8,9.08,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/6/2020,Mon,Lower San Joaquin,38.05324,-121.50971,20-50-PP03,South ,San Joaquin River at Prisoners Pt,8:20,181.63,24.05,4,1.8,13.33,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/6/2020,Mon,Lower San Joaquin,38.04698,-121.52289,20-50-PP01,South ,San Joaquin River at Prisoners Pt,9:46,183.25,23.18,n/p,1.8,5.23,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Turbidity meter not working for all tows. Tow 1 was code 2 (Twist in net)
7/6/2020,Mon,Lower San Joaquin,38.10275,-121.59611,20-50-PP02,South ,San Joaquin River at Prisoners Pt,11:38,165.03,23.48,n/p,1.69,7.08,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/6/2020,Mon,Sac Deep Water Shipping Channel,38.28694,-121.65822,20-50-LSSC01,North,Lower Sacramento River Shipping Channel,9:09,189.2,22.83,18.53,0.65,10.63,Kodiak,4,10,U,DSM,1,46,n/p,n/p,n/p,DSM flash frozen for UCD
7/6/2020,Mon,Sac Deep Water Shipping Channel,38.36079,-121.63551,20-50-LSSC02,North,Lower Sacramento River Shipping Channel,11:09,451.17,22.87,71.53,0.28,9.53,Kodiak,3,10,U,DSM,4,43-49,n/p,n/p,n/p,DSM flash frozen for UCD; 3 DSM (43-46mm) initially returned as WAG but IDed in lab as DSM and being sent to DOP for verification; 30 Wakasagi (51-71mm) retained for verification; Tow 1 was code 2 (Twist in net)
7/6/2020,Mon,Sac Deep Water Shipping Channel,38.51341,-121.58434,20-50-USSC01,North,Upper Sacramento River Shipping Channel,13:24,971.25,24.65,17.45,0.71,10.1,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/6/2020,Mon,Suisun Marsh,38.15678,-122.0618,20-50-SM02,West,Suisun Marsh,9:37,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too Shallow
7/6/2020,Mon,Suisun Marsh,38.12955,-122.08146,20-50-SM03,West,Suisun Marsh,9:40,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too Shallow; No sites performed at Pittsburg today due to boat issues. Sites will be completed later in the week. 
7/7/2020,Tues,Sac Deep Water Shipping Channel,38.24174,-121.67092,20-50-LSSC04,North,Lower Sacramento River Shipping Channel,8:21,135.43,22.13,6.15,1.56,6.64,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Buoy line wrapped around net/twist in net)
7/7/2020,Tues,Sac Deep Water Shipping Channel,38.35125,-121.63983,20-50-LSSC05,North,Lower Sacramento River Shipping Channel,9:54,371.5,22.65,47.45,0.3,10.4,Kodiak,2,10,U,DSM,1,43,n/p,n/p,n/p,DSM flash frozen for UCD; 15 Wakasagi (55-74mm) retained for verification; Tow 1 was code 2 (Twist in net)
7/7/2020,Tues,Sac Deep Water Shipping Channel,38.1962,-121.65739,20-50-LSSC03,North,Lower Sacramento River Shipping Channel,11:47,138.35,22.2,10.63,1.16,17.68,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/7/2020,Tues,Lower San Joaquin,38.09646,-121.63183,20-50-SJT01,South ,San Joaquin River at Twitchell Island,8:16,321.35,22.9,6.36,1.68,14.15,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/7/2020,Tues,Lower San Joaquin,38.02418,-121.74376,20-50-LSJ02,West,Lower San Joaquin River,10:33,815.75,22.4,6.4,1.6,5.35,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/7/2020,Tues,Lower San Joaquin,38.03116,-121.7241,20-50-LSJ01,West,Lower San Joaquin River,12:35,466,22.7,6.07,1.69,7.75,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/7/2020,Tues,Suisun Marsh,38.10632,-122.04694,20-50-GB01,West,Grizzly Bay,8:54,14777.5,20,88.3,0.22,2.15,Kodiak,4,10,U,LFS,1,100,X,n/p,n/p,"Tow 1 was code 2 (Started 500ft from target point); Tow 2 was code 2 (Twist in net); Tow 4 was code 2 (Distance from site exceeded target distance, was 0.57 mi at stop)"
7/7/2020,Tues,Suisun Marsh,38.17493,-122.01285,20-50-SM04,West,Suisun Marsh,10:43,10040,21.9,46.93,0.29,4.65,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/7/2020,Tues,Suisun Marsh,38.17929,-122.05584,20-50-SM01,West,Suisun Marsh,12:27,9405.75,21.63,37.28,0.33,3.13,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/8/2020,Weds,Cache Slough and Liberty Island,38.25568,-121.73684,20-50-CS02,North,Cache Slough/Liberty Island,8:42,162.9,22.23,5.7,1.28,5.3,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Twist in net)
7/8/2020,Weds,Cache Slough and Liberty Island,38.25189,-121.72352,20-50-CS03,North,Cache Slough/Liberty Island,10:15,159.23,22.45,5.18,1.5,5.63,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Twist in net)
7/8/2020,Weds,Cache Slough and Liberty Island,38.24555,-121.67341,20-50-CS01,North,Cache Slough/Liberty Island,11:45,146.55,22.43,10.13,1.19,5.78,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/8/2020,Weds,Suisun Bay,38.07138,-121.95807,20-50-HB01,West,Honker Bay,10:10,11047,21.1,27.38,0.43,3.2,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/8/2020,Weds,Suisun Bay,38.08622,-122.07519,20-50-SBW01,Far West,West Suisun Bay,11:43,15886.5,21.23,78.7,0.26,7.03,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/8/2020,Weds,Suisun Bay,38.03439,-121.84947,20-50-CF01,West,Confluence,8:38,5612.75,21.53,24.53,0.58,4.73,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/8/2020,Weds,Lower Sacramento,38.06649,-121.83493,20-50-LSR02,West,Lower Sacramento River,8:30,5665.25,21.53,19.65,0.73,7.9,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/8/2020,Weds,Lower Sacramento,38.08757,-121.74744,20-50-LSR01,West,Lower Sacramento River,9:51,681,22.08,43.13,0.47,8.55,Kodiak,4,10,U,DSM,3,33-41,n/p,n/p,n/p,DSM flash frozen for UCD; 7 Wakasagi (57-68mm) retained for verification
7/8/2020,Weds,Lower Sacramento,38.08757,-121.74744,20-50-LSR01,West,Lower Sacramento River,9:51,681,22.08,43.13,0.47,8.55,Kodiak,4,10,U,OSM,1,40,n/p,n/p,n/p,OSM waiting for further ID verification 
7/8/2020,Weds,Lower Sacramento,38.09567,-121.72543,20-50-RV04,North,Sacramento River near Rio Vista,11:26,274.85,22.7,17.5,1.21,4.83,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/9/2020,Thurs,Cache Slough and Liberty Island,38.28849,-121.69245,20-50-CS04,North,Cache Slough/Liberty Island,8:14,161.58,22.23,5.1,1.59,4.45,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/9/2020,Thurs,Cache Slough and Liberty Island,38.24978,-121.68719,20-50-CS06,North,Cache Slough/Liberty Island,9:30,136.15,22.88,6.3,1.57,9.7,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/9/2020,Thurs,Cache Slough and Liberty Island,38.27372,-121.66532,20-50-CS05,North,Cache Slough/Liberty Island,10:46,152.1,22.68,9.49,1.2,5.68,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Buoy line wrapped around net/twist in net)
7/9/2020,Thurs,Suisun Marsh,38.10946,-122.04069,20-50-GB03,West,Grizzly Bay,9:05,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too Shallow
7/9/2020,Thurs,Suisun Marsh,38.11141,-122.05729,20-50-GB02,West,Grizzly Bay,9:17,14317.75,21.63,108.45,0.18,2.43,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/9/2020,Thurs,Suisun Marsh,38.13695,-122.06134,20-50-SM06,West,Suisun Marsh,10:51,13471.25,22.93,38.7,0.4,11.45,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/9/2020,Thurs,Suisun Marsh,38.17392,-122.05636,20-50-SM05,West,Suisun Marsh,12:20,10437.6,22.44,32.12,0.38,5.4,Kodiak,5,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 3 (Net not separating properly); 5 tows performed
7/9/2020,Thurs,Lower Sacramento,38.10388,-121.72117,20-50-RV02,North,Sacramento River near Rio Vista,8:30,695.5,22.33,15.83,0.72,10.4,Kodiak,4,10,U,DSM,1,53,X,n/p,n/p,DSM flash frozen for UCD
7/9/2020,Thurs,Lower Sacramento,38.13997,-121.69049,20-50-RV03,North,Sacramento River near Rio Vista,9:52,184.93,22.95,8.2,1.76,6.67,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/9/2020,Thurs,Lower Sacramento,38.16473,-121.67961,20-50-RV01,North,Sacramento River near Rio Vista,11:25,135.58,23.15,7.42,1.73,9.88,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/10/2020,Friday,Suisun Bay,38.07014,-121.99862,20-50-SBM01,West,Mid Suisun Bay,8:00,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too Shallow
7/10/2020,Friday,Suisun Bay,38.0602,-122.11452,20-50-SBW02,Far West,West Suisun Bay,9:43,22047,20.63,29.5,0.52,6.48,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,"Tow 2 was code 3 (Distance from site exceeded target distance, was 0.6 mi at stop)"
7/10/2020,Friday,Suisun Bay,38.09533,-122.06853,20-50-SBM02,West,Mid Suisun Bay,8:21,16427.25,20.8,34.75,0.47,9.98,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/10/2020,Friday,Suisun Bay,38.04334,-121.85376,20-50-CF02,West,Confluence,11:42,4541.5,22.33,31.25,0.69,11.25,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Cache Slough and Liberty Island,38.25115,-121.71983,20-51-CS03,North,Cache Slough/Liberty Island,8:19,159.83,23.75,3.65,1.8,4.2,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Cache Slough and Liberty Island,38.25169,-121.68786,20-51-CS01,North,Cache Slough/Liberty Island,9:40,144.1,23.55,6.16,1.67,9.55,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Cache Slough and Liberty Island,38.27552,-121.66554,20-51-CS02,North,Cache Slough/Liberty Island,10:50,157.13,23.58,9.68,1.24,6.48,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Suisun Bay,38.07025,-122.09304,20-51-SBW01,Far West,West Suisun Bay,8:11,17462.75,21.7,13.1,0.68,10.25,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Suisun Bay,38.09538,-122.05591,20-51-SBM01,West,Mid Suisun Bay,10:14,17398.75,21.85,16.2,0.71,6.18,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Suisun Bay,38.05454,-121.94078,20-51-HB01,West,Honker Bay,10:56,8292.5,22.7,14.68,0.88,10.08,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Lower San Joaquin,38.04241,-121.49879,20-51-PP03,South ,San Joaquin River at Prisoners Pt,8:49,169.55,25.63,4.16,1.8,10.93,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Lower San Joaquin,38.07214,-121.57189,20-51-PP01,South ,San Joaquin River at Prisoners Pt,10:07,160.68,24.73,4.64,1.8,7.78,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/13/2020,Mon,Lower San Joaquin,38.10334,-121.59477,20-51-PP02,South ,San Joaquin River at Prisoners Pt,11:26,164.63,24.6,4.63,1.8,7.73,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Lower San Joaquin,38.0255,-121.75905,20-51-LSJ03,West,Lower San Joaquin River,8:18,632,23.73,5.93,1.68,6.58,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,"Tow 3 was code 2 (Distance from site exceeded target distance, was 0.6 mi at stop)"
7/14/2020,Tues,Lower San Joaquin,38.03756,-121.71661,20-51-LSJ01,West,Lower San Joaquin River,9:45,487.6,23.83,7.19,1.68,9.2,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Lower San Joaquin,38.04708,-121.70267,20-51-LSJ02,West,Lower San Joaquin River,11:03,543.25,23.88,7.56,1.47,5.13,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Suisun Bay,38.04564,-122.11803,20-51-SBW03,Far West,West Suisun Bay,8:13,21524,21.23,15.78,0.77,11.75,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Suisun Bay,38.0958,-122.07273,20-51-SBW02,Far West,West Suisun Bay,9:34,19117,21.45,21.33,0.64,6.58,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Suisun Bay,38.04457,-121.89959,20-51-CF01,West,Confluence,11:05,7276.25,22.6,14,0.94,16.3,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Cache Slough and Liberty Island,38.26001,-121.74077,20-51-CS06,North,Cache Slough/Liberty Island,8:17,162.73,22.73,5.77,1.39,4.7,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,Tow 2 was code 2 (Partial net blockage due to vegetation); Tow 3 was code 3 (Net blocked by vegetation); Tow 4 was code 2 (Buoy line wrapped around net/partial blockage); 5th tow not conducted due to excessive vegitation.
7/14/2020,Tues,Cache Slough and Liberty Island,38.27708,-121.70739,20-51-CS04,North,Cache Slough/Liberty Island,10:35,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too much vegetation
7/14/2020,Tues,Cache Slough and Liberty Island,38.25997,-121.69427,20-51-CS07,North,Cache Slough/Liberty Island,10:48,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too much vegetation
7/14/2020,Tues,Cache Slough and Liberty Island,38.24695,-121.67688,20-51-CS05,North,Cache Slough/Liberty Island,12:25,138.45,23.4,6.72,1.51,9.13,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/14/2020,Tues,Cache Slough and Liberty Island,38.44501,-121.60121,20-51-CS08,North,Cache Slough/Liberty Island,11:05,n/p,n/p,n/p,n/p,n/p,Kodiak,0,n/p,n/p,n/p,n/p,n/p,n/p,n/p,n/p,Code 4: Too Shallow
7/14/2020,Tues,Cache Slough and Liberty Island,38.25171,-121.67305,20-51-CS09,North,Cache Slough/Liberty Island,11:17,145.95,22.93,7.83,1.22,6.33,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,Tow 1 was code 2 (Buoy line wrapped around net/twist in net)
7/15/2020,Weds,Sac Deep Water Shipping Channel,38.42101,-121.60737,20-51-LSSC02,North,Lower Sacramento River Shipping Channel,8:45,696.33,23.33,22.33,0.56,6.83,Kodiak,3,10,U,DSM,1,43,X,n/p,n/p,DSM flash frozen for UCD
7/15/2020,Weds,Sac Deep Water Shipping Channel,38.32428,-121.64928,20-51-LSSC03,North,Lower Sacramento River Shipping Channel,9:58,356.6,23.28,20.43,0.64,9.85,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,"UNID at 42mm waiting for further ID verification, in poor condition; Tow 3 was code 2 (Distance from site exceeded target distance, was 0.68 mi at stop)"
7/15/2020,Weds,Sac Deep Water Shipping Channel,38.1818,-121.66201,20-51-LSSC01,North,Lower Sacramento River Shipping Channel,11:38,124.35,23.58,5.89,1.8,8.03,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
7/15/2020,Weds,Suisun Marsh,38.15821,-121.92568,20-51-SM01,West,Suisun Marsh,8:08,8559.5,22.38,15.4,0.66,3.83,Kodiak,4,10,U,n/p,n/p,n/p,n/p,n/p,n/p,
7/15/2020,Weds,Suisun Marsh,38.20786,-122.03383,20-51-SM02,West,Suisun Marsh,9:55,8665,21.48,34.95,0.38,5.7,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,1 Wakasagi (70mm) retained for verification
7/15/2020,Weds,Suisun Marsh,38.13824,-122.06072,20-51-SM03,West,Suisun Marsh,11:25,14850.75,22.05,48,0.32,10.08,Kodiak,4,10,D,n/p,n/p,n/p,n/p,n/p,n/p,
