# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-11-18 16:38:05 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11455478 SACRAMENTO R A DECKER ISLAND NR RIO VISTA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11455478
#            TS   parameter     Description
#         16209       00010     Temperature, water, degrees Celsius, [HYDRO EXO]
#         16210       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, [HYDRO EXO]
#         16212       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), MEDIAN TS087: YSI model 6136
#         16214       00010     Temperature, water, degrees Celsius, BGC PROJECT
#         16215       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius, BGC PROJECT
#         16218       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU), BGC PROJECT
#        248800       32316     Chlorophyll fluorescence (fChl), water, in situ, concentration estimated from reference material, micrograms per liter as chlorophyll, BGC PROJECT
#        257815       00480     Salinity, water, unfiltered, parts per thousand, BGC PROJECT
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	16214_00010	16214_00010_cd	16215_00095	16215_00095_cd	16218_63680	16218_63680_cd	248800_32316	248800_32316_cd	257815_00480	257815_00480_cd
USGS	11455478	2020-06-01 07:45	PST	22.4	P	170	P	7.7	P	2.3	P	0.1	P
USGS	11455478	2020-06-01 08:00	PST	22.4	P	170	P	5.4	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 08:15	PST	22.4	P	169	P	5.0	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 08:30	PST	22.4	P	168	P	4.8	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 08:45	PST	22.4	P	169	P	5.0	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 09:00	PST	22.4	P	169	P	5.0	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 09:15	PST	22.4	P	169	P	5.8	P	2.6	P	0.1	P
USGS	11455478	2020-06-01 09:30	PST	22.3	P	172	P	6.5	P	2.6	P	0.1	P
USGS	11455478	2020-06-01 09:45	PST	22.3	P	173	P	8.9	P	2.8	P	0.1	P
USGS	11455478	2020-06-01 10:00	PST	22.2	P	176	P	8.2	P	2.8	P	0.1	P
USGS	11455478	2020-06-01 10:15	PST	22.2	P	178	P	10.3	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 10:30	PST	22.2	P	181	P	9.2	P	3.1	P	0.1	P
USGS	11455478	2020-06-01 10:45	PST	22.1	P	185	P	10.4	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 11:00	PST	22.1	P	191	P	9.6	P	3.7	P	0.1	P
USGS	11455478	2020-06-01 11:15	PST	22.1	P	194	P	9.6	P	3.8	P	0.1	P
USGS	11455478	2020-06-01 11:30	PST	22.1	P	199	P	10.0	P	5.2	P	0.1	P
USGS	11455478	2020-06-01 11:45	PST	22.0	P	204	P	9.9	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 12:00	PST	22.0	P	203	P	9.6	P	3.4	P	0.1	P
USGS	11455478	2020-06-01 12:15	PST	22.0	P	210	P	9.6	P	3.7	P	0.1	P
USGS	11455478	2020-06-01 12:30	PST	22.0	P	208	P	10.4	P	3.6	P	0.1	P
USGS	11455478	2020-06-01 12:45	PST	22.0	P	220	P	10.0	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 13:00	PST	21.9	P	223	P	9.2	P	3.1	P	0.1	P
USGS	11455478	2020-06-01 13:15	PST	21.9	P	222	P	8.9	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 13:30	PST	21.9	P	216	P	7.9	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 13:45	PST	21.9	P	214	P	7.6	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 14:00	PST	22.0	P	205	P	8.2	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 14:15	PST	22.0	P	206	P	7.2	P	3.0	P	0.1	P
USGS	11455478	2020-06-01 14:30	PST	22.0	P	199	P	8.9	P	3.1	P	0.1	P
USGS	11455478	2020-06-01 14:45	PST	22.2	P	194	P	9.6	P	3.2	P	0.1	P
USGS	11455478	2020-06-01 15:00	PST	22.2	P	193	P	8.6	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 15:15	PST	22.3	P	189	P	10.0	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 15:30	PST	22.3	P	186	P	11.4	P	3.0	P	0.1	P
USGS	11455478	2020-06-01 15:45	PST	22.4	P	183	P	11.3	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 16:00	PST	22.5	P	177	P	12.5	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 16:15	PST	22.6	P	176	P	12.8	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 16:30	PST	22.6	P	176	P	12.6	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 16:45	PST	22.6	P	179	P	10.8	P	2.7	P	0.1	P
USGS	11455478	2020-06-01 17:00	PST	22.7	P	177	P	10.3	P	2.6	P	0.1	P
USGS	11455478	2020-06-01 17:15	PST	22.7	P	173	P	10.5	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 17:30	PST	22.8	P	170	P	10.3	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 17:45	PST	22.8	P	168	P	9.1	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 18:00	PST	22.9	P	166	P	9.1	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 18:15	PST	22.9	P	165	P	7.4	P	2.3	P	0.1	P
USGS	11455478	2020-06-01 18:30	PST	23.0	P	163	P	9.2	P	2.3	P	0.1	P
USGS	11455478	2020-06-01 18:45	PST	23.0	P	164	P	7.4	P	2.3	P	0.1	P
USGS	11455478	2020-06-01 19:00	PST	23.0	P	164	P	7.1	P	2.3	P	0.1	P
USGS	11455478	2020-06-01 19:15	PST	23.0	P	163	P	6.3	P	2.6	P	0.1	P
USGS	11455478	2020-06-01 19:30	PST	23.0	P	164	P	6.3	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 19:45	PST	23.0	P	164	P	5.5	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 20:00	PST	22.9	P	165	P	5.4	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 20:15	PST	22.9	P	167	P	5.4	P	2.4	P	0.1	P
USGS	11455478	2020-06-01 20:30	PST	22.9	P	167	P	6.2	P	2.6	P	0.1	P
USGS	11455478	2020-06-01 20:45	PST	22.8	P	169	P	7.4	P	2.5	P	0.1	P
USGS	11455478	2020-06-01 21:00	PST	22.7	P	174	P	9.2	P	2.8	P	0.1	P
USGS	11455478	2020-06-01 21:15	PST	22.6	P	179	P	8.2	P	2.8	P	0.1	P
USGS	11455478	2020-06-01 21:30	PST	22.6	P	179	P	10.6	P	2.9	P	0.1	P
USGS	11455478	2020-06-01 21:45	PST	22.5	P	178	P	11.3	P	3.1	P	0.1	P
USGS	11455478	2020-06-01 22:00	PST	22.5	P	179	P	13.2	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 22:15	PST	22.4	P	184	P	15.4	P	3.5	P	0.1	P
USGS	11455478	2020-06-01 22:30	PST	22.3	P	186	P	13.6	P	3.5	P	0.1	P
USGS	11455478	2020-06-01 22:45	PST	22.2	P	194	P	16.2	P	3.4	P	0.1	P
USGS	11455478	2020-06-01 23:00	PST	22.1	P	221	P	17.0	P	3.7	P	0.1	P
USGS	11455478	2020-06-01 23:15	PST	22.0	P	238	P	16.4	P	3.4	P	0.1	P
USGS	11455478	2020-06-01 23:30	PST	21.9	P	256	P	16.2	P	3.3	P	0.1	P
USGS	11455478	2020-06-01 23:45	PST	21.8	P	284	P	16.3	P	3.3	P	0.1	P
USGS	11455478	2020-06-02 00:00	PST	21.8	P	331	P	17.4	P	3.2	P	0.1	P
USGS	11455478	2020-06-02 00:15	PST	21.7	P	361	P	16.3	P	3.0	P	0.2	P
USGS	11455478	2020-06-02 00:30	PST	21.7	P	380	P	16.2	P	3.0	P	0.2	P
USGS	11455478	2020-06-02 00:45	PST	21.7	P	419	P	15.6	P	2.9	P	0.2	P
USGS	11455478	2020-06-02 01:00	PST	21.7	P	425	P	15.9	P	3.0	P	0.2	P
USGS	11455478	2020-06-02 01:15	PST	21.7	P	442	P	14.7	P	3.0	P	0.2	P
USGS	11455478	2020-06-02 01:30	PST	21.7	P	448	P	15.0	P	3.1	P	0.2	P
USGS	11455478	2020-06-02 01:45	PST	21.7	P	486	P	13.1	P	3.0	P	0.2	P
USGS	11455478	2020-06-02 02:00	PST	21.7	P	471	P	13.5	P	2.9	P	0.2	P
USGS	11455478	2020-06-02 02:15	PST	21.7	P	461	P	12.6	P	2.8	P	0.2	P
USGS	11455478	2020-06-02 02:30	PST	21.6	P	416	P	12.6	P	2.7	P	0.2	P
USGS	11455478	2020-06-02 02:45	PST	21.7	P	396	P	12.2	P	2.7	P	0.2	P
USGS	11455478	2020-06-02 03:00	PST	21.7	P	368	P	11.8	P	2.7	P	0.2	P
USGS	11455478	2020-06-02 03:15	PST	21.7	P	316	P	11.0	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 03:30	PST	21.8	P	278	P	11.8	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 03:45	PST	21.8	P	248	P	12.7	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 04:00	PST	21.9	P	229	P	14.0	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 04:15	PST	22.0	P	215	P	14.1	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 04:30	PST	22.1	P	197	P	13.8	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 04:45	PST	22.2	P	186	P	14.9	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 05:00	PST	22.2	P	181	P	14.7	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 05:15	PST	22.3	P	179	P	15.6	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 05:30	PST	22.3	P	178	P	13.7	P	2.8	P	0.1	P
USGS	11455478	2020-06-02 05:45	PST	22.4	P	176	P	14.2	P	2.7	P	0.1	P
USGS	11455478	2020-06-02 06:00	PST	22.5	P	173	P	12.3	P	2.6	P	0.1	P
USGS	11455478	2020-06-02 06:15	PST	22.5	P	170	P	13.3	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 06:30	PST	22.6	P	168	P	11.8	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 06:45	PST	22.6	P	167	P	11.2	P	2.3	P	0.1	P
USGS	11455478	2020-06-02 07:00	PST	22.7	P	165	P	11.0	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 07:15	PST	22.7	P	166	P	10.3	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 07:30	PST	22.8	P	168	P	11.2	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 07:45	PST	22.8	P	168	P	10.4	P	2.1	P	0.1	P
USGS	11455478	2020-06-02 08:00	PST	22.8	P	168	P	7.7	P	2.1	P	0.1	P
USGS	11455478	2020-06-02 08:15	PST	22.9	P	167	P	8.4	P	2.1	P	0.1	P
USGS	11455478	2020-06-02 08:30	PST	22.9	P	166	P	7.0	P	2.0	P	0.1	P
USGS	11455478	2020-06-02 08:45	PST	22.9	P	165	P	7.1	P	2.1	P	0.1	P
USGS	11455478	2020-06-02 09:00	PST	22.9	P	165	P	5.5	P	2.1	P	0.1	P
USGS	11455478	2020-06-02 09:15	PST	22.9	P	165	P	4.3	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 09:30	PST	23.0	P	166	P	4.4	P	2.1	P	0.1	P
USGS	11455478	2020-06-02 09:45	PST	23.0	P	166	P	4.3	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 10:00	PST	23.0	P	168	P	4.0	P	2.3	P	0.1	P
USGS	11455478	2020-06-02 10:15	PST	23.0	P	168	P	4.2	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 10:30	PST	22.9	P	168	P	5.5	P	2.3	P	0.1	P
USGS	11455478	2020-06-02 10:45	PST	22.9	P	169	P	6.0	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 11:00	PST	22.8	P	171	P	7.5	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 11:15	PST	22.7	P	170	P	8.9	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 11:30	PST	22.7	P	173	P	9.1	P	2.7	P	0.1	P
USGS	11455478	2020-06-02 11:45	PST	22.8	P	175	P	7.6	P	2.8	P	0.1	P
USGS	11455478	2020-06-02 12:00	PST	22.7	P	178	P	8.2	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 12:15	PST	22.6	P	179	P	8.4	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 12:30	PST	22.5	P	181	P	9.0	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 12:45	PST	22.5	P	182	P	8.2	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 13:00	PST	22.5	P	183	P	8.5	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 13:15	PST	22.9	P	182	P	7.0	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 13:30	PST	22.4	P	184	P	8.3	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 13:45	PST	22.6	P	188	P	8.0	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 14:00	PST	22.5	P	190	P	8.5	P	3.2	P	0.1	P
USGS	11455478	2020-06-02 14:15	PST	22.5	P	192	P	8.7	P	3.2	P	0.1	P
USGS	11455478	2020-06-02 14:30	PST	22.7	P	190	P	7.7	P	3.3	P	0.1	P
USGS	11455478	2020-06-02 14:45	PST	22.6	P	194	P	8.4	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 15:00	PST	22.7	P	191	P	7.7	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 15:15	PST	22.6	P	187	P	7.2	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 15:30	PST	22.8	P	184	P	6.3	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 15:45	PST	22.8	P	182	P	6.1	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 16:00	PST	22.9	P	179	P	7.1	P	3.0	P	0.1	P
USGS	11455478	2020-06-02 16:15	PST	23.0	P	177	P	7.4	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 16:30	PST	22.9	P	176	P	8.7	P	2.8	P	0.1	P
USGS	11455478	2020-06-02 16:45	PST	23.0	P	173	P	9.2	P	2.6	P	0.1	P
USGS	11455478	2020-06-02 17:00	PST	23.0	P	169	P	9.1	P	2.6	P	0.1	P
USGS	11455478	2020-06-02 17:15	PST	23.1	P	169	P	9.7	P	2.6	P	0.1	P
USGS	11455478	2020-06-02 17:30	PST	23.1	P	169	P	9.9	P	2.7	P	0.1	P
USGS	11455478	2020-06-02 17:45	PST	23.2	P	169	P	9.3	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 18:00	PST	23.2	P	171	P	9.2	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 18:15	PST	23.2	P	172	P	8.2	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 18:30	PST	23.2	P	170	P	8.4	P	2.3	P	0.1	P
USGS	11455478	2020-06-02 18:45	PST	23.3	P	168	P	7.1	P	2.2	P	0.1	P
USGS	11455478	2020-06-02 19:00	PST	23.3	P	167	P	7.6	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 19:15	PST	23.4	P	165	P	7.4	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 19:30	PST	23.4	P	164	P	7.3	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 19:45	PST	23.5	P	164	P	6.1	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 20:00	PST	23.5	P	164	P	5.3	P	2.6	P	0.1	P
USGS	11455478	2020-06-02 20:15	PST	23.4	P	164	P	4.7	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 20:30	PST	23.4	P	164	P	4.9	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 20:45	PST	23.4	P	166	P	6.5	P	2.4	P	0.1	P
USGS	11455478	2020-06-02 21:00	PST	23.3	P	166	P	5.9	P	2.3	P	0.1	P
USGS	11455478	2020-06-02 21:15	PST	23.2	P	169	P	6.1	P	2.5	P	0.1	P
USGS	11455478	2020-06-02 21:30	PST	23.2	P	171	P	6.7	P	2.7	P	0.1	P
USGS	11455478	2020-06-02 21:45	PST	23.2	P	172	P	7.2	P	2.6	P	0.1	P
USGS	11455478	2020-06-02 22:00	PST	23.1	P	170	P	8.5	P	2.9	P	0.1	P
USGS	11455478	2020-06-02 22:15	PST	23.1	P	169	P	11.1	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 22:30	PST	23.0	P	170	P	11.6	P	3.1	P	0.1	P
USGS	11455478	2020-06-02 22:45	PST	22.9	P	174	P	14.7	P	3.3	P	0.1	P
USGS	11455478	2020-06-02 23:00	PST	22.8	P	177	P	14.0	P	3.4	P	0.1	P
USGS	11455478	2020-06-02 23:15	PST	22.8	P	180	P	14.2	P	3.5	P	0.1	P
USGS	11455478	2020-06-02 23:30	PST	22.7	P	185	P	15.6	P	3.6	P	0.1	P
USGS	11455478	2020-06-02 23:45	PST	22.5	P	239	P	15.7	P	3.2	P	0.1	P
USGS	11455478	2020-06-03 00:00	PST	22.3	P	282	P	14.8	P	3.1	P	0.1	P
USGS	11455478	2020-06-03 00:15	PST	22.3	P	320	P	16.9	P	3.2	P	0.1	P
USGS	11455478	2020-06-03 00:30	PST	22.2	P	364	P	16.0	P	3.0	P	0.2	P
USGS	11455478	2020-06-03 00:45	PST	22.1	P	396	P	15.7	P	3.1	P	0.2	P
USGS	11455478	2020-06-03 01:00	PST	22.1	P	443	P	15.9	P	2.9	P	0.2	P
USGS	11455478	2020-06-03 01:15	PST	22.1	P	497	P	16.7	P	2.8	P	0.2	P
USGS	11455478	2020-06-03 01:30	PST	22.1	P	487	P	14.6	P	2.8	P	0.2	P
USGS	11455478	2020-06-03 01:45	PST	22.1	P	495	P	14.6	P	2.8	P	0.2	P
USGS	11455478	2020-06-03 02:00	PST	22.1	P	518	P	14.0	P	2.9	P	0.2	P
USGS	11455478	2020-06-03 02:15	PST	22.1	P	564	P	13.9	P	2.9	P	0.3	P
USGS	11455478	2020-06-03 02:30	PST	22.1	P	601	P	13.2	P	2.7	P	0.3	P
USGS	11455478	2020-06-03 02:45	PST	22.1	P	595	P	13.0	P	2.5	P	0.3	P
USGS	11455478	2020-06-03 03:00	PST	22.1	P	547	P	12.4	P	2.4	P	0.2	P
USGS	11455478	2020-06-03 03:15	PST	22.1	P	506	P	12.3	P	2.3	P	0.2	P
USGS	11455478	2020-06-03 03:30	PST	22.1	P	486	P	11.9	P	2.3	P	0.2	P
USGS	11455478	2020-06-03 03:45	PST	22.2	P	353	P	8.6	P	2.4	P	0.2	P
USGS	11455478	2020-06-03 04:00	PST	22.3	P	315	P	12.6	P	2.4	P	0.1	P
USGS	11455478	2020-06-03 04:15	PST	22.3	P	288	P	15.1	P	2.5	P	0.1	P
USGS	11455478	2020-06-03 04:30	PST	22.4	P	262	P	14.3	P	2.5	P	0.1	P
USGS	11455478	2020-06-03 04:45	PST	22.4	P	219	P	15.8	P	2.5	P	0.1	P
USGS	11455478	2020-06-03 05:00	PST	22.6	P	202	P	12.6	P	2.4	P	0.1	P
USGS	11455478	2020-06-03 05:15	PST	22.7	P	181	P	14.1	P	2.5	P	0.1	P
USGS	11455478	2020-06-03 05:30	PST	22.7	P	176	P	14.8	P	2.5	P	0.1	P
USGS	11455478	2020-06-03 05:45	PST	22.8	P	173	P	15.7	P	2.5	P	0.1	P
USGS	11455478	2020-06-03 06:00	PST	22.9	P	171	P	13.8	P	2.3	P	0.1	P
USGS	11455478	2020-06-03 06:15	PST	22.9	P	171	P	13.8	P	2.4	P	0.1	P
USGS	11455478	2020-06-03 06:30	PST	23.0	P	171	P	12.4	P	2.4	P	0.1	P
USGS	11455478	2020-06-03 06:45	PST	23.0	P	170	P	11.3	P	2.3	P	0.1	P
USGS	11455478	2020-06-03 07:00	PST	23.1	P	169	P	12.5	P	2.3	P	0.1	P
USGS	11455478	2020-06-03 07:15	PST	23.2	P	167	P	12.2	P	2.3	P	0.1	P
USGS	11455478	2020-06-03 07:30	PST	23.3	P	166	P	9.9	P	2.1	P	0.1	P
USGS	11455478	2020-06-03 07:45	PST	23.3	P	166	P	10.6	P	2.2	P	0.1	P
USGS	11455478	2020-06-03 08:00	PST	23.4	P	166	P	9.5	P	2.2	P	0.1	P
USGS	11455478	2020-06-03 08:15	PST	23.4	P	166	P	9.1	P	2.1	P	0.1	P
USGS	11455478	2020-06-03 08:30	PST	23.5	P	165	P	8.8	P	2.1	P	0.1	P
USGS	11455478	2020-06-03 08:45	PST	23.5	P	165	P	9.0	P	2.1	P	0.1	P
USGS	11455478	2020-06-03 09:00	PST	23.6	P	164	P	7.9	P	2.0	P	0.1	P
USGS	11455478	2020-06-03 09:15	PST	23.6	P	164	P	7.1	P	2.0	P	0.1	P
USGS	11455478	2020-06-03 09:30	PST	23.6	P	164	P	6.7	P	2.0	P	0.1	P
USGS	11455478	2020-06-03 09:45	PST	23.7	P	164	P	5.9	P	2.0	P	0.1	P
USGS	11455478	2020-06-03 10:00	PST	23.7	P	164	P	4.6	P	2.0	P	0.1	P
USGS	11455478	2020-06-03 10:15	PST	23.7	P	164	P	5.2	P	1.8	P	0.1	P
USGS	11455478	2020-06-03 10:30	PST	23.7	P	164	P	4.4	P	1.9	P	0.1	P
USGS	11455478	2020-06-03 10:45	PST	23.8	P	164	P	4.0	P	1.9	P	0.1	P
USGS	11455478	2020-06-03 11:00	PST	23.7	P	164	P	4.0	P	1.9	P	0.1	P
USGS	11455478	2020-06-03 11:15	PST	23.6	P	166	P	4.7	P	1.9	P	0.1	P
USGS	11455478	2020-06-03 11:30	PST	23.7	P	165	P	4.1	P	2.0	P	0.1	P
