station,collected_by,date,time_pst,kingdom,phylum,class,genus,taxon,phyto_form,organisms_per_ml,cells_per_ml,biovolume_per_ml
FMWT_605,STN,2020-07-16,09:41:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,105.7,105.7,7567.7
FMWT_605,STN,2020-07-16,09:41:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,42401.8,84803.5,15264.6
FMWT_605,STN,2020-07-16,09:41:00,Protozoa,Dinozoa,Dinophyceae,Peridinium,Peridinium sp.,i,105.7,105.7,301096.3
EMP_NZ028,EMP,2020-07-16,12:25:00,Chromista,Cryptophyta,Cryptophyceae,Plagioselmis,Plagioselmis nannoplanctica,i,143.7,143.7,23491.8
EMP_NZ028,EMP,2020-07-16,12:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,59077.3,118154.6,21267.8
EMP_NZ028,EMP,2020-07-16,12:25:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,cf. Eucapsis sp.,c,431.2,862.4,3612.6
EMP_NZS42,EMP,2020-07-16,13:30:00,Chromista,Bacillariophyta,Bacillariophyceae,Cylindrotheca,Cylindrotheca closterium,i,184,184,73099.5
EMP_NZS42,EMP,2020-07-16,13:30:00,Bacteria,Cyanobacteria,Cyanophyceae,Cylindrospermum,Cylindrospermum sp.,f,184,7911.5,403763
EMP_NZS42,EMP,2020-07-16,13:30:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,74515,149030,26825.4
EMP_NZ032,EMP,2020-07-16,14:20:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,211167.7,422335.4,76020.4
STN_801,STN,2020-07-28,07:54:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,85.2,85.2,48669.6
STN_801,STN,2020-07-28,07:54:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,i,85.2,85.2,23120.6
STN_801,STN,2020-07-28,07:54:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,511.1,511.1,98342.6
STN_801,STN,2020-07-28,07:54:00,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,Navicula cf. oppugnata,i,85.2,85.2,82060.9
STN_801,STN,2020-07-28,07:54:00,Chromista,Bacillariophyta,Bacillariophyceae,Navicula,cf. Navicula sp.,i,85.2,85.2,15841.9
STN_801,STN,2020-07-28,07:54:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,85.2,85.2,11748.7
STN_801,STN,2020-07-28,07:54:00,Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,cf. Aphanizomenon sp.,f,85.2,766.6,39497.6
STN_801,STN,2020-07-28,07:54:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,c,4599.7,5281.1,176972.2
STN_801,STN,2020-07-28,07:54:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,29131.4,58262.8,10487.3
STN_801,STN,2020-07-28,07:54:00,Bacteria,Cyanobacteria,Cyanophyceae,Komvophoron,Komvophoron sp.,f,85.2,596.3,3746.4
STN_704,STN,2020-07-29,05:48:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,242.1,242.1,94973
STN_704,STN,2020-07-29,05:48:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,484.2,484.2,219645.3
STN_704,STN,2020-07-29,05:48:00,Chromista,Ochrophyta,Coscinodiscophyceae,Melosira,Melosira sp.,i,242.1,242.1,2661434.9
STN_704,STN,2020-07-29,05:48:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia sociabilis,i,242.1,242.1,13557
STN_704,STN,2020-07-29,05:48:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia sp.,i,242.1,242.1,7650
STN_704,STN,2020-07-29,05:48:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,242.1,242.1,17326.2
STN_704,STN,2020-07-29,05:48:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,95141,190282,34250.8
STN_610,STN,2020-07-29,06:09:00,Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros sp.,i,368,368,85546.1
STN_610,STN,2020-07-29,06:09:00,Chromista,Bacillariophyta,Bacillariophyceae,Entomoneis,Entomoneis paludosa,i,122.7,122.7,429412.7
STN_610,STN,2020-07-29,06:09:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia acicularis,i,122.7,122.7,44524
STN_610,STN,2020-07-29,06:09:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,c,245.3,245.3,6506.3
STN_610,STN,2020-07-29,06:09:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,48327.4,96654.9,17397.9
STN_706,STN,2020-07-29,06:38:00,Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus sp.,i,191.7,191.7,1066653
STN_706,STN,2020-07-29,06:38:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,383.3,383.3,263618
STN_706,STN,2020-07-29,06:38:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,1629.1,1629.1,350315.6
STN_706,STN,2020-07-29,06:38:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia liebetruthii,i,191.7,191.7,25652.5
STN_706,STN,2020-07-29,06:38:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,191.7,191.7,14912.8
STN_706,STN,2020-07-29,06:38:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,95.8,95.8,10837.8
STN_706,STN,2020-07-29,06:38:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,35935.1,71870.2,12936.6
MONT,STN,2020-07-29,07:06:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia acicularis,i,153.3,153.3,24409
MONT,STN,2020-07-29,07:06:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,306.6,306.6,25004.6
MONT,STN,2020-07-29,07:06:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,61482.6,122965.1,22133.7
MONT,STN,2020-07-29,07:06:00,Protozoa,Euglenozoa,Euglenophyceae,Trachelomonas,Trachelomonas volvocina,i,153.3,153.3,176374.5
STN_609,STN,2020-07-29,07:27:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,657.1,657.1,1597630
STN_609,STN,2020-07-29,07:27:00,Chromista,Bacillariophyta,Bacillariophyceae,Geissleria,Geissleria decussis,i,328.5,328.5,256638.2
STN_609,STN,2020-07-29,07:27:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,135362.4,270724.8,48730.5
STN_606,STN,2020-07-29,08:29:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,153.3,153.3,177052.9
STN_606,STN,2020-07-29,08:29:00,Chromista,Cryptophyta,Cryptophyceae,Plagioselmis,Plagioselmis nannoplanctica,i,153.3,153.3,82592
STN_606,STN,2020-07-29,08:29:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,61482.6,122965.1,22133.7
FMWT_605,STN,2020-07-29,09:33:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,605.2,605.2,445106.8
FMWT_605,STN,2020-07-29,09:33:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,484.2,484.2,19261.9
FMWT_605,STN,2020-07-29,09:33:00,Chromista,Bacillariophyta,Bacillariophyceae,Tryblionella,Tryblionella cf. compressa,i,121,121,98138.8
FMWT_605,STN,2020-07-29,09:33:00,Plantae,Chlorophyta,Chlorophyceae,Vitreochlamys,cf. Vitreochalmys sp.,i,121,121,469945.3
FMWT_605,STN,2020-07-29,09:33:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,47812.6,95625.2,17212.5
FMWT_605,STN,2020-07-29,09:33:00,Protozoa,Dinozoa,Dinophyceae,Peridinium,Peridinium sp.,i,121,121,400496.7
STN_610,STN,2020-08-12,06:13:00,Chromista,Ochrophyta,Coscinodiscophyceae,Actinocyclus,Actinocyclus sp.,i,153.3,153.3,846284.8
STN_610,STN,2020-08-12,06:13:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,76.7,76.7,28053.5
STN_610,STN,2020-08-12,06:13:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,i,76.7,76.7,32286.8
STN_610,STN,2020-08-12,06:13:00,Chromista,Bacillariophyta,Bacillariophyceae,Gyrosigma,Gyrosigma sp.,i,153.3,153.3,510249.9
STN_610,STN,2020-08-12,06:13:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia acicularis,i,76.7,76.7,26839.2
STN_610,STN,2020-08-12,06:13:00,Chromista,Ochrophyta,Coscinodiscophyceae,Rhizosolenia,cf. Rhizosolenia sp.,i,153.3,153.3,1007319.8
STN_610,STN,2020-08-12,06:13:00,Plantae,Chlorophyta,Chlorophyceae,Scenedesmus,Scenedesmus sp.,c,76.7,153.3,2023
STN_610,STN,2020-08-12,06:13:00,Chromista,Cryptophyta,Cryptophyceae,Plagioselmis,Plagioselmis nannoplanctica,i,76.7,76.7,23954.7
STN_610,STN,2020-08-12,06:13:00,Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,f,76.7,2453.2,118695.2
STN_610,STN,2020-08-12,06:13:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,29898,59796,10763.3
MONT,STN,2020-08-12,07:05:00,Chromista,Ochrophyta,Coscinodiscophyceae,Chaetoceros,Chaetoceros sp.,i,681.4,681.4,80921.9
MONT,STN,2020-08-12,07:05:00,Chromista,Bacillariophyta,Bacillariophyceae,Gyrosigma,Gyrosigma sp.,i,340.7,340.7,1096579
MONT,STN,2020-08-12,07:05:00,Chromista,Ochrophyta,Coscinodiscophyceae,Rhizosolenia,cf. Rhizosolenia sp.,i,170.4,170.4,902048.5
MONT,STN,2020-08-12,07:05:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,170.4,170.4,2937.2
MONT,STN,2020-08-12,07:05:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,68654.7,137309.3,24715.7
STN_609,STN,2020-08-12,07:21:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,i,164.3,164.3,35325.9
STN_609,STN,2020-08-12,07:21:00,Chromista,Bacillariophyta,Bacillariophyceae,Diploneis,cf. Diploneis sp.,i,164.3,164.3,148368.9
STN_609,STN,2020-08-12,07:21:00,Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella sp.,i,164.3,164.3,34854.9
STN_609,STN,2020-08-12,07:21:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,67024.1,134048.2,24128.7
FMWT_605,STN,2020-08-12,08:57:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,cf. Cyclotella sp.,i,153.3,153.3,884278.9
FMWT_605,STN,2020-08-12,08:57:00,Chromista,Bacillariophyta,Bacillariophyceae,Neidium,cf. Neidium sp.,i,153.3,153.3,1529724
FMWT_605,STN,2020-08-12,08:57:00,Chromista,Ochrophyta,Coscinodiscophyceae,Rhizosolenia,Rhizosolenia sp.,i,153.3,153.3,650226.6
FMWT_605,STN,2020-08-12,08:57:00,Chromista,Bacillariophyta,Bacillariophyceae,Surirella,Surirella brebissonii,i,153.3,153.3,1428243.5
FMWT_605,STN,2020-08-12,08:57:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,63475.8,126951.5,22851.3
FMWT_605,STN,2020-08-12,08:57:00,Protozoa,Dinozoa,Dinophyceae,Peridinium,cf. Peridinium sp.,i,153.3,153.3,267492
EMP_NZ060,EMP,2020-08-12,10:55:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia sp.,i,191.7,191.7,5673
EMP_NZ060,EMP,2020-08-12,10:55:00,Plantae,Chlorophyta,Chlorophyceae,Chlorella,Chlorella sp.,i,383.3,383.3,35246
EMP_NZ060,EMP,2020-08-12,10:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,4599.7,5558,172626.6
EMP_NZ060,EMP,2020-08-12,10:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,73595.1,147190.2,26494.2
EMP_NZEZ6,EMP,2020-08-12,10:55:00,Chromista,Bacillariophyta,Bacillariophyceae,Gyrosigma,Gyrosigma fasciola,i,328.5,328.5,1290344.4
EMP_NZEZ6,EMP,2020-08-12,10:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Aphanizomenon,Aphanizomenon sp.,f,328.5,13634.8,674372.2
EMP_NZEZ6,EMP,2020-08-12,10:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,c,5092.5,5913.9,410754.2
EMP_NZEZ6,EMP,2020-08-12,10:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,59796,119592,21526.6
EMP_NZEZ6,EMP,2020-08-12,10:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaena,Pseudanabaena sp.,f,164.3,492.8,3511.4
EMP_NZEZ2,EMP,2020-08-12,12:00:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,460,460,1314159.8
EMP_NZEZ2,EMP,2020-08-12,12:00:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,230,230,69683.9
EMP_NZEZ2,EMP,2020-08-12,12:00:00,Chromista,Cryptophyta,Cryptophyceae,Plagioselmis,Plagioselmis nannoplanctica,i,230,230,126855.5
EMP_NZEZ2,EMP,2020-08-12,12:00:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,5289.6,5749.6,332936
EMP_NZEZ2,EMP,2020-08-12,12:00:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,85784.3,171568.5,30882.3
EMP_NZEZ2,EMP,2020-08-12,12:00:00,Bacteria,Cyanobacteria,Cyanophyceae,Microcystis,Microcystis sp.,i,230,5749.6,528690.1
EMP_NZ064,EMP,2020-08-12,12:35:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia sp.,i,460,460,102483.2
EMP_NZ064,EMP,2020-08-12,12:35:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,6209.6,7819.5,262033
EMP_NZ064,EMP,2020-08-12,12:35:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,85784.3,171568.5,30882.3
EMP_NZ064,EMP,2020-08-12,12:35:00,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaena,Pseudanabaena sp.,i,230,1149.9,8778.6
STN_704,STN,2020-08-14,05:22:00,Chromista,Bacillariophyta,Bacillariophyceae,Cocconeis,Cocconeis placentula,i,230,230,296737.9
STN_704,STN,2020-08-14,05:22:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,690,690,154303.7
STN_704,STN,2020-08-14,05:22:00,Chromista,Bacillariophyta,Bacillariophyceae,Entomoneis,Entomoneis sp.,i,230,230,351053.1
STN_704,STN,2020-08-14,05:22:00,Chromista,Ochrophyta,Coscinodiscophyceae,Thalassiosira,cf. Thalassiosira sp.,i,230,230,8412.8
STN_704,STN,2020-08-14,05:22:00,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcus,Chroococcus sp.,i,690,690,24898.3
STN_704,STN,2020-08-14,05:22:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,96823.5,193647.1,34856.5
EMP_NZ028,EMP,2020-08-17,14:00:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella meneghiniana,i,67.6,67.6,164461.9
EMP_NZ028,EMP,2020-08-17,14:00:00,Chromista,Bacillariophyta,Bacillariophyceae,Gyrosigma,Gyrosigma fasciola,i,135.3,135.3,532622.2
EMP_NZ028,EMP,2020-08-17,14:00:00,Chromista,Ochrophyta,Coscinodiscophyceae,Rhizosolenia,cf. Rhizosolenia sp.,i,608.8,608.8,3617024.3
EMP_NZ028,EMP,2020-08-17,14:00:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,26245.3,52490.6,9448.3
EMP_NZS42,EMP,2020-08-17,14:55:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,79994.7,159989.3,28798.1
EMP_NZS42,EMP,2020-08-17,14:55:00,Protozoa,Dinozoa,Dinophyceae,Peridinium,cf. Peridinium sp.,i,200,200,167721.4
EMP_NZ032,EMP,2020-08-17,15:45:00,Chromista,Ochrophyta,Coscinodiscophyceae,Rhizosolenia,cf. Rhizosolenia sp.,i,497.3,497.3,2340956.4
EMP_NZ032,EMP,2020-08-17,15:45:00,Bacteria,Cyanobacteria,Cyanophyceae,Eucapsis,Eucapsis microscopica,c,49477.8,98955.5,17812
STN_801,STN,2020-08-24,12:41:00,Chromista,Ochrophyta,Coscinodiscophyceae,Cyclotella,Cyclotella sp.,i,431.2,143.7,73026.9
STN_801,STN,2020-08-24,12:41:00,Chromista,Bacillariophyta,Bacillariophyceae,Nitzschia,Nitzschia alpina,i,143.7,143.7,9409.8
