station,collected_by,latitude,longitude,date,time_pst,taxon_original,taxon,units_per_ml,cells_per_ml,biovolume_per_ml,gald_um,phyto_form,quality_check,debris
EMP_NZ068,EMP,38.14272,-121.6895,2018-09-13,08:35:00,NA,cf. Chlorella sp.,1039.44,1039.44,4355.25,2,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-09-13,08:35:00,NA,Plagioselmis nannoplanctica,346.48,346.48,78370.31,8,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-09-13,08:35:00,NA,Eucapsis microscopica,142056.8,296586.88,53385.64,0.8,c,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,cf. Cyclotella sp.,459.97,459.97,41917.07,5.6,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,Chlorella sp.,919.94,919.94,6660.37,2.8,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,Cryptomonas sp.,459.97,459.97,195188.27,14.8,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,Plagioselmis nannoplanctica,459.97,459.97,107016.62,8.3,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,Plagioselmis prolonga,Teleaulax amphioxeia,919.94,919.94,103787.63,7.4,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,Eucapsis microscopica,189507.64,384074.95,69133.49,0.8,c,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,cf. Microcystis sp.,459.97,459.97,12198.4,3.7,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-09-18,09:20:00,NA,Euglena sp.,459.97,459.97,556904.08,29.6,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-09-18,10:05:00,NA,cf. Cyclotella sp.,450.43,450.43,17918.11,3.7,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-09-18,10:05:00,NA,Ulnaria sp.,1801.72,1801.72,216963.12,7.4,i,BrokenDiatoms,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-09-18,10:05:00,NA,cf. Chlorella sp.,900.86,900.86,6522.23,2.4,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-09-18,10:05:00,NA,Plagioselmis nannoplanctica,900.86,900.86,303932.15,9.3,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-09-18,10:05:00,NA,Eucapsis microscopica,185577.16,367550.88,66159.16,0.8,c,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-09-19,13:55:00,NA,cf. Cyclotella sp.,459.97,459.97,319619.35,9.6,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-09-19,13:55:00,NA,Chlorella sp.,1379.91,1379.91,21526.6,3.7,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-09-19,13:55:00,NA,Cryptomonas sp.,459.97,459.97,658759.83,22.2,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-09-19,13:55:00,NA,Eucapsis microscopica,191347.52,388674.65,69961.44,0.8,c,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-09-19,14:50:00,NA,Eucapsis microscopica,228031.2,447053.76,80469.68,0.8,c,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-09-19,15:40:00,NA,Chlorella sp.,328.55,328.55,3775.04,2.8,i,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-09-19,15:40:00,NA,Monoraphidium minutum,328.55,328.55,906.8,6.5,i,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-09-19,15:40:00,NA,Cryptomonas sp.,657.1,657.1,1145062.46,22.2,i,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-09-19,15:40:00,NA,Eucapsis microscopica,137333.9,277296.2,49913.32,0.8,c,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-10-12,06:15:00,NA,cf. Chlorella sp.,160.98,160.98,577.92,1.9,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-10-12,06:15:00,NA,Chlorella sp.,160.98,160.98,674.51,2,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-10-12,06:15:00,NA,Plagioselmis nannoplanctica,160.98,160.98,43701.24,8.7,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-10-12,06:15:00,Plagioselmis prolonga,Teleaulax amphioxeia,160.98,160.98,33176.37,8,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2018-10-12,06:15:00,NA,Eucapsis microscopica,65518.86,131359.68,23644.74,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Cocconeis sp.,187.8,187.8,58366.36,18.5,i,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Entomoneis sp.,187.8,187.8,960504.98,35.2,i,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Nitzschia sp.,375.6,375.6,14415.53,16.7,i,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Coccomyxa sp.,1878,1878,41879.4,8.3,i,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Plagioselmis nannoplanctica,375.6,375.6,70000.57,7.4,i,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Eucapsis microscopica,74744.4,151366.8,27246.02,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.07755,-121.7634,2018-10-12,07:15:00,NA,Snowella sp.,563.4,3004.8,811.3,0.9,c,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-10-12,07:50:00,NA,Achnanthidium minutissimum,204.88,204.88,22028.7,18.5,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-10-12,07:50:00,NA,Planothidium frequentissimum,204.88,204.88,11844.11,8,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-10-12,07:50:00,NA,cf. Chlorella sp.,409.76,409.76,1471.04,1.9,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-10-12,07:50:00,NA,Coccomyxa sp.,409.76,409.76,9420.38,5.6,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-10-12,07:50:00,Plagioselmis prolonga,Teleaulax amphioxeia,204.88,204.88,32602.55,7.4,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2018-10-12,07:50:00,NA,Eucapsis microscopica,86664.24,173738.24,31272.88,0.8,c,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,Seminavis sp.,173.36,173.36,41143.53,29.6,i,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,cf. Chlorella sp.,1213.52,1213.52,3118.75,1.9,i,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,Coccomyxa sp.,520.08,520.08,3063.27,5,i,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,Ochromonas sp.,173.36,173.36,8834.43,4.6,i,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,Plagioselmis nannoplanctica,173.36,173.36,93385.56,11.1,i,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,Eucapsis microscopica,66570.24,134180.64,24152.52,0.8,c,Good,Unknown
EMP_EZ2,EMP,38.1006,-121.726917,2018-10-12,08:35:00,NA,Snowella sp.,346.72,1906.96,514.88,0.8,c,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,Cyclotella sp.,355.83,355.83,64622.29,8.3,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,Nitzschia sp.,237.22,237.22,8995.38,16.7,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,Thalassiosira sp.,237.22,237.22,1871862.69,27.8,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,cf. Chlorella sp.,593.05,593.05,1524.14,1.9,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,cf. Hemiselmis sp.,118.61,118.61,2571.46,4.6,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,Plagioselmis nannoplanctica,118.61,118.61,37331.31,9.3,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2018-10-12,09:25:00,NA,Eucapsis microscopica,46257.9,97734.64,17592.24,0.8,c,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-10-17,09:55:00,NA,cf. Chlorella sp.,459.97,459.97,12198.4,3.7,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-10-17,09:55:00,NA,Coccomyxa sp.,1839.88,1839.88,30450.01,9.3,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-10-17,09:55:00,Plagioselmis prolonga,Teleaulax amphioxeia,919.94,919.94,152986.02,7.4,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2018-10-17,09:55:00,NA,Eucapsis microscopica,194567.31,398334.02,71700.12,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-10-17,10:40:00,NA,Skeletonema cf. costatum,1040.16,1040.16,33753.19,4.3,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-10-17,10:40:00,NA,cf. Chlorella sp.,346.72,346.72,1244.72,1.9,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-10-17,10:40:00,NA,Coccomyxa sp.,7281.12,7281.12,152029.79,6.1,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-10-17,10:40:00,NA,Eucapsis microscopica,131060.16,263507.2,47431.3,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-10-17,10:40:00,NA,Snowella sp.,346.72,1733.6,468.07,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2018-10-17,10:40:00,NA,cf. Synechococcus sp.,346.72,346.72,31880.9,5.6,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-10-18,13:55:00,NA,cf. Chlorella sp.,328.55,328.55,3775.04,2.8,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-10-18,13:55:00,NA,Coccomyxa sp.,3614.05,3614.05,78027.34,7.4,i,Good,Unknown
EMP_D7,EMP,38.11714,-122.0397,2018-10-18,13:55:00,NA,Eucapsis microscopica,142262.15,291752.4,52515.43,0.8,c,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-10-18,14:50:00,NA,cf. Chlorella sp.,766.62,766.62,2752.17,1.9,i,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-10-18,14:50:00,NA,Coccomyxa sp.,1533.24,1533.24,40906.84,7.4,i,Good,Unknown
EMP_NZS42,EMP,38.18045,-122.0476,2018-10-18,14:50:00,NA,Eucapsis microscopica,174022.74,357628.23,64373.08,0.8,c,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-10-18,15:45:00,NA,Coccomyxa sp.,862.44,862.44,18766.69,5.3,i,Good,Unknown
EMP_NZ032,EMP,38.16991,-122.0211,2018-10-18,15:45:00,NA,Eucapsis microscopica,117004.36,240333.28,43259.99,0.8,c,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2019-07-08,08:00:00,NA,cf. Cyclotella sp.,574.96,574.96,35354.29,4.6,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2019-07-08,08:00:00,NA,Nitzschia inconspicua,2299.84,2299.84,73019.92,14.4,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2019-07-08,08:00:00,NA,Chlorella sp.,2874.8,2874.8,18312.48,2.8,i,Good,Unknown
EMP_D4,EMP,38.06248,-121.8205,2019-07-08,08:00:00,NA,Eucapsis microscopica,252407.44,519188.88,93454,0.8,c,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2019-07-08,08:50:00,NA,cf. Cyclotella sp.,459.97,459.97,70209.82,6.5,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2019-07-08,08:50:00,NA,Nitzschia sp.,1379.91,1379.91,46433.97,16.7,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2019-07-08,08:50:00,NA,Chlorella sp.,4599.7,4599.7,22308.54,2.8,i,Good,Unknown
EMP_D22,EMP,38.08453,-121.7391,2019-07-08,08:50:00,NA,Eucapsis microscopica,188127.73,385454.86,69381.87,0.8,c,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Cocconeis placentula,281.71,281.71,280563.44,20.4,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Cyclotella sp.,281.71,281.71,31714.91,6.8,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Nitzschia sp.,281.71,281.71,12513.56,16.7,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,cf. Skeletonema sp.,563.42,563.42,15956.05,4.6,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Chlorella sp.,7324.46,7324.46,26294.81,1.9,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Drepanochloris nannoselene,563.42,563.42,1487.43,3.7,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,cf. Microspora sp.,281.71,563.42,46115.93,6.5,f,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Plagioselmis nannoplanctica,281.71,281.71,91217.7,9.3,i,Good,Unknown
EMP_NZ068,EMP,38.14272,-121.6895,2019-07-08,09:45:00,NA,Eucapsis microscopica,109021.77,219170.38,39450.67,0.8,c,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,Entomoneis sp.,1502.44,1502.44,10842433.38,40.7,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,Gomphonema sp.,751.22,751.22,124499.69,8.3,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,Nitzschia inconspicua,751.22,751.22,12988.59,6.5,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,Nitzschia sp.,751.22,751.22,28606.46,16.7,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,cf. Chlorella sp.,2253.66,2253.66,8090.64,1.9,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,Drepanochloris nannoselene,751.22,751.22,2892.2,5.6,i,Good,Unknown
EMP_D8,EMP,38.05992,-121.99,2019-07-11,11:00:00,NA,Eucapsis microscopica,341805.1,695629.72,125213.35,0.8,c,Good,Unknown
EMP_EZ6,EMP,38.057992,-121.99,2019-07-11,11:35:00,NA,Chlorella sp.,3756.1,3756.1,13484.4,1.9,i,Good,Unknown
EMP_EZ6,EMP,38.057992,-121.99,2019-07-11,11:35:00,NA,Eucapsis microscopica,344058.76,703141.92,126565.55,0.8,c,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2019-07-11,11:50:00,NA,Cyclotella sp.,901.46,901.46,143449.33,7.4,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2019-07-11,11:50:00,NA,Entomoneis paludosa,450.73,450.73,4166759.96,40.7,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2019-07-11,11:50:00,NA,Chlorella sp.,1352.19,1352.19,4854.36,1.9,i,Good,Unknown
EMP_D10,EMP,38.04631,-121.9183,2019-07-11,11:50:00,NA,Monoraphidium convolutum,450.73,450.73,9456.32,11.1,i,Good,Unknown
