Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimate,Volume,ACARTELA,ACARTIA,DIAPTOM,EURYTEM,OTHCALAD,PDIAPFOR,PDIAPMAR,SINOCAL,TORTANUS,ALLCALADULTS,ACANTHO,LIMNOSPP,LIMNOSINE,LIMNOTET,OITHDAV,OITHSIM,OITHSPP,OTHCYCAD,ALLCYCADULTS,HARPACT,EURYJUV,OTHCALJUV,PDIAPJUV,SINOCALJUV,ASINEJUV,ACARJUV,DIAPTJUV,TORTJUV,ALLCALJUV,LIMNOJUV,OITHJUV,OTHCYCJUV,ALLCYCJUV,EURYNAUP,OTHCOPNAUP,PDIAPNAUP,SINONAUP,ALLCOPNAUP,BOSMINA,DAPHNIA,DIAPHAN,OTHCLADO,ALLCLADOCERA,ASPLANCH,KERATELA,OTHROT,POLYARTH,SYNCH,TRICHO,ALLROTIFERS,BARNNAUP,CRABZOEA,OSTRACOD,CUMAC
STN,2018,3,7,2018-07-11,801,07:17:00,10,Confluence,2,6.7,4165,2.19,4165,2.19,21.5,20.9,53,25,2,11619,N,3.5,775.4,0,0,0,0,608.5,0,0,0,1384,0,0,0,21.5,0,0,0,0,21.5,5.4,0,0,258.5,0,269.3,0,0,0,527.7,0,0,0,0,0,0,16.2,0,16.2,0,0,0,0,0,0,0,0,0,0,0,0,37.7,0,16.2,0
STN,2018,3,7,2018-07-11,Honk,10:16:00,10,Suisun Bay (Honker),3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,25304,N,7.7,252.5,0,0,0,0,80.7,0,0,33.8,367,0,0,0,7.8,0,0,0,0,7.8,0,0,0,44.2,0,697.6,0,0,15.6,757.4,2.6,0,0,2.6,0,7.8,2.6,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,7.8,5.2,0,0
EMP,2018,7,7,2018-07-11,NZ028,14:20:00,10,SuiBay,1,1.9,18088,10.67,NA,NA,21.5,NA,44,NA,NA,15777,N,5.4,319.4,0,0,0,0,11.3,1.3,0,127.7,459.6,0,0,0,15,2.5,0,0,0,17.5,1.3,0,0,8.8,0,521,0,0,28.8,558.6,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0
EMP,2018,7,7,2018-07-11,NZ032,16:10:00,10,SuiMar,1,7.7,12918,7.4,NA,NA,22.6,NA,48,NA,NA,17657,N,7.8,404,0,0,0,0,138.2,0,0,74.4,616.6,0,0,0,7.1,0,0,0,0,7.1,0,0,0,60.2,0,241,0,0,42.5,343.7,0,0,0,0,0,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,10.6,3.5,0,0,0
EMP,2018,7,7,2018-07-11,NZS42,15:10:00,10,SuiMar,1,4.5,11645,6.62,NA,NA,22.8,NA,44,NA,NA,20363,N,7.9,371.2,0,0,0,0,393,0,0,29.1,793.2,0,0,0,4.9,0,0,0,0,4.9,0,4.9,0,87.3,0,504.6,0,0,38.8,635.6,0,0,0,0,2.4,2.4,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,5.1,0,0
STN,2018,3,7,2018-07-12,411,13:27:00,10,Suisun Bay,4,3.7,18999,11.26,19650,11.68,21.3,22,26,43.8,1,14812,N,4.5,13.3,0,0,0,0,3.3,3.3,0,0,20,0,0,0,16.7,36.7,0,0,3.3,56.7,30,0,0,3.3,0,63.4,3.3,0,150.1,220.1,0,0,0,0,0,76.7,0,0,76.7,0,0,0,0,0,0,0,0,0,0,0,0,80,0,6.7,6.7
STN,2018,3,7,2018-07-12,418,12:28:00,10,Suisun Bay (Mothball),4,9.4,18504,10.94,19995,11.9,21.3,21.1,56,26.4,1,15483,N,4.7,185,0,0,0,0,7.7,7.7,0,46.3,246.7,0,0,0,46.3,158.1,0,0,0,204.3,11.6,0,0,27,0,809.6,0,0,632.2,1468.8,3.9,0,0,3.9,0,381.6,0,0,381.6,0,0,0,0,0,0,0,0,0,0,0,0,161.9,0,0,0
STN,2018,3,7,2018-07-12,602,11:00:00,10,Suisun Bay (Grizzly),4,1.2,13158,7.55,10092,5.67,21.6,21.6,18,200,1,11714,N,3.6,91.4,0,0,0,0,14.1,0,0,7,112.5,0,0,0,28.1,7,0,0,0,35.1,7,0,0,7,0,583.3,0,0,154.6,745,0,0,0,0,0,21.1,0,0,21.1,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,7,0
STN,2018,3,7,2018-07-12,606,09:50:00,10,Suisun Bay (Mont. Sl.),2,6.4,10176,5.72,10818,6.11,22.2,22,24,50.1,1,14881,N,4.5,428.9,0,0,4.2,0,668.5,0,0,25.2,1126.8,0,0,0,16.8,0,0,0,0,16.8,4.2,25.2,0,420.5,0,458.3,0,0,12.6,916.6,0,0,8.4,8.4,0,328,100.9,0,428.9,0,0,0,0,0,0,0,0,0,0,0,0,79.9,8.4,33.6,0
STN,2018,3,7,2018-07-12,609,08:45:00,10,Suisun Bay (Mont. Sl.),2,8.5,9161,5.11,9203,5.13,21.8,21.3,35,44.5,1,15683,N,4.8,294,0,0,0,0,645.7,0,0,15.7,955.4,0,0,0,404.2,5.2,0,0,0,409.5,15.7,21,0,692.9,0,283.5,0,0,31.5,1028.9,10.5,0,15.7,26.2,0,934.4,204.7,0,1139.1,0,0,0,5.2,5.2,0,0,0,0,0,0,0,483,94.5,120.7,0
STN,2018,3,7,2018-07-12,610,07:33:00,10,Suisun Bay (Mont. Sl.),2,3.7,8215,4.54,8139,4.5,22.1,21.4,41,60.3,1,15742,N,4.8,179.9,0,0,16.7,0,372.4,0,0,4.2,573.2,0,0,0,79.5,4.2,0,0,0,83.7,4.2,50.2,0,803.3,0,179.9,0,0,4.2,1037.6,0,0,8.4,8.4,0,376.5,142.3,0,518.8,0,0,0,4.2,4.2,0,0,0,0,0,0,0,58.6,12.6,150.6,4.2
STN,2018,3,7,2018-07-13,405,09:39:00,10,Suisun Bay (Carquinez St.),2,4.3,20522,12.24,21273,12.73,20.6,20.3,14,161,1,10532,N,3.2,262.6,0,0,0,0,9.4,109.4,0,200.1,581.6,0,0,0,87.5,137.6,0,0,0,225.1,50,0,0,62.5,0,647.2,3.1,0,181.4,894.3,0,0,3.1,3.1,0,96.9,0,0,96.9,0,0,0,0,0,0,0,0,0,0,0,0,75,0,3.1,0
EMP,2018,7,7,2018-07-18,NZ060,07:49:00,10,WestDel,1,11.5,5480,2.94,NA,NA,21.3,NA,48,NA,NA,34266,N,6.2,1330.8,0,0,0,0,214.3,0,0,0,1545.1,0,0,0,12.2,0,0,0,0,12.2,0,0,0,26.1,0,219.5,0,0,5.2,250.8,0,0,1.7,1.7,0,1.7,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0
EMP,2018,7,7,2018-07-18,NZ064,08:38:00,10,SacR,1,9.8,1116,0.53,NA,NA,21.8,NA,40,NA,NA,23949,N,0.6,3001.7,0,0,0,0,627.6,0,0,0,3629.3,0,0,0,231.5,0,0,0,0,231.5,2.4,0,0,136,0,31,0,0,0,167,0,0,7.2,7.2,7.2,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP,2018,7,7,2018-07-18,NZ068,09:18:00,10,SacR,1,6,140,0.06,NA,NA,22.7,NA,NA,NA,NA,22218,N,6.8,228.1,0,2.8,0,2.8,157.7,0,5.6,0,397.1,0,0,0,0,0,0,0,2.8,2.8,2.8,0,0,2196.6,0,0,0,0,0,2196.6,0,0,56.3,56.3,0,0,90.1,0,90.1,42.2,8.5,50.7,67.6,169,0,0,0,0,0,0,0,0,0,0,0
STN,2018,4,7,2018-07-23,704,07:43:00,10,Lower Sacramento River,2,7.9,215,0.09,361,0.16,22.1,21.3,18,22,1,11442,N,3.5,4427.2,0,0,0,0,1098,0,0,0,5525.2,0,0,0,5,0,0,0,0,5,5,0,0,1113.1,0,55.4,0,0,0,1168.5,0,0,30.2,30.2,0,5,10.1,0,15.1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,15.1,0
STN,2018,4,7,2018-07-23,706,09:19:00,10,Lower Sacramento River,2,8.5,140,0.06,146,0.06,22.6,22.1,56,11.1,1,16130,N,4.9,108.6,0,0,0,0,77.6,0,0,0,186.2,0,0,0,0,0,0,0,15.5,15.5,3.9,0,0,1318.9,0,3.9,0,3.9,0,1326.6,0,0,27.2,27.2,0,0,108.6,0,108.6,31,0,7.8,19.4,58.2,0,0,0,0,0,0,0,0,0,0,0
STN,2018,4,7,2018-07-23,707,10:34:00,10,Lower Sacramento River,4,7.9,129,0.05,134,0.06,22.8,22.6,66,7.3,1,16241,N,4.9,39.5,0,0,0,0,164.2,0,3,0,206.8,0,0,0,0,0,0,0,12.2,12.2,6.1,0,0,1776.2,0,0,0,0,0,1776.2,0,0,85.2,85.2,0,0,337.6,0,337.6,27.4,0,12.2,88.2,127.7,0,0,0,0,0,0,0,0,0,6.1,0
STN,2018,4,7,2018-07-25,501,13:41:00,10,Suisun Bay,4,7.9,12670,7.25,15265,8.87,22.5,21.9,46,25.7,2,16933,N,5.1,606,0,0,0,0,11.1,0,0,18.5,635.6,0,0,0,55.4,25.9,0,0,0,81.3,7.4,0,0,3.7,0,476.7,0,0,314.1,794.4,0,0,0,0,0,110.9,0,0,110.9,0,0,0,0,0,0,0,0,0,0,0,0,388,11.1,3.7,3.7
STN,2018,4,7,2018-07-25,504,12:44:00,10,Suisun Bay,4,6.7,6486,3.52,8684,4.82,22,22,48,25,2,16279,N,4.9,1713.4,0,0,0,0,201.8,0,0,0,1915.2,0,0,0,17.7,3.5,0,0,7.1,28.3,7.1,0,0,10.6,0,311.5,0,0,21.2,343.4,0,0,0,0,0,17.7,0,0,17.7,0,0,0,0,0,0,0,0,0,0,0,0,35.4,60.2,3.5,0
STN,2018,4,7,2018-07-25,508,11:38:00,10,Suisun Bay,4,11.6,3390,1.75,3630,1.89,22,21.9,44,29.2,2,16235,N,4.9,2073.5,0,0,0,0,224.3,0,0,3.7,2301.5,0,0,0,3.7,0,0,0,0,3.7,0,0,0,7.4,0,231.6,0,0,0,239,0,0,0,0,0,3.7,0,0,3.7,0,0,0,3.7,3.7,0,0,0,0,0,0,0,3.7,22.1,7.4,3.7
STN,2018,4,7,2018-07-25,513,10:10:00,10,Confluence,2,13.7,2067,1.03,2490,1.26,21.7,21.5,40,23,2,15058,N,4.6,440.2,0,0,0,0,117.6,0,0,0,557.9,0,0,0,15.2,0,0,0,7.6,22.8,3.8,0,0,72.1,0,201.1,0,0,0,273.2,0,0,7.6,7.6,0,7.6,3.8,0,11.4,0,0,0,3.8,3.8,0,0,0,0,0,0,0,7.6,3.8,0,0
STN,2018,4,7,2018-07-25,519,14:40:00,10,Suisun Bay (Honker),4,2.1,9003,5.01,9080,5.06,21.8,22.3,34,61.9,2,15167,N,4.6,385.7,0,0,0,0,39.4,0,0,19.7,444.7,0,0,0,220.4,11.8,0,0,0,232.2,15.7,0,0,11.8,0,188.9,0,0,59,259.7,11.8,0,0,11.8,0,27.5,3.9,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,27.5,3.9,3.9,0
STN,2018,4,7,2018-07-25,801,09:14:00,10,Confluence,2,6.1,1968,0.98,1953,0.97,22.2,22,52,19.9,4,15007,N,4.6,544.5,0,0,0,0,167.5,0,0,0,712.1,0,0,0,19,0,0,0,0,19,7.6,0,0,80,0,179,0,0,0,258.9,0,0,0,0,0,0,7.6,0,7.6,3.8,0,0,3.8,7.6,0,0,0,0,0,0,0,15.2,0,19,0
STN,2018,4,7,2018-07-26,411,14:29:00,10,Suisun Bay,4,6.7,18663,11.04,15287,8.89,21.5,21.8,49,27.9,1,15979,N,4.9,156.6,0,0,0,3.9,3.9,47,0,66.6,278,0,0,0,23.5,23.5,0,0,0,47,11.7,0,3.9,35.2,0,78.3,0,0,109.6,227.1,3.9,0,0,3.9,0,43.1,0,0,43.1,0,0,0,0,0,0,0,0,0,0,0,0,121.4,0,0,0
STN,2018,4,7,2018-07-26,418,13:28:00,10,Suisun Bay (Mothball),4,9.4,18064,10.65,18654,11.03,21.5,21.6,50,24.5,1,15899,N,4.8,349.1,0,0,0,0,0,18.8,0,97.6,465.5,0,0,0,101.4,165.2,0,0,0,266.5,18.8,0,0,18.8,0,364.2,0,0,270.3,653.2,15,7.5,0,22.5,0,135.2,0,0,135.2,0,0,0,0,0,0,0,0,0,0,0,0,108.9,0,3.8,3.8
STN,2018,4,7,2018-07-26,520,06:53:00,10,Confluence,2,12.8,5004,2.66,5093,2.72,21.6,21.5,49,43.5,2,16405,N,5,1104.2,0,0,0,0,195.1,0,0,0,1299.3,0,0,0,34.8,0,0,0,0,34.8,0,0,0,3.5,0,170.7,0,0,3.5,177.7,7,0,0,7,0,0,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,10.5,31.4,3.5,0
STN,2018,4,7,2018-07-26,602,12:21:00,10,Suisun Bay (Grizzly),4,1.2,11732,6.67,11595,6.59,21.8,22,23,51.6,1,14792,N,4.5,427.7,0,0,0,0,4,4,0,60.5,496.3,0,0,0,68.6,40.4,0,0,0,108.9,8.1,0,0,12.1,0,560.9,0,0,96.8,669.8,0,0,0,0,0,44.4,8.1,0,52.5,0,0,0,0,0,0,0,0,0,0,0,0,40.4,8.1,4,4
STN,2018,4,7,2018-07-26,606,11:08:00,10,Suisun Bay (Mont. Sl.),4,7,10934,6.18,11001,6.22,22.9,22.8,39,22.1,1,14726,N,4.5,892.3,0,0,0,0,20.1,0,0,20.1,932.5,0,0,0,26.8,0,0,0,0,26.8,3.4,16.8,0,47,0,1123.7,0,0,57,1244.5,3.4,0,3.4,6.7,0,83.9,0,0,83.9,0,0,0,0,0,0,0,0,0,0,0,0,130.8,16.8,6.7,0
STN,2018,4,7,2018-07-26,609,10:00:00,10,Suisun Bay (Mont. Sl.),2,7,9819,5.51,9781,5.48,21.9,21.6,39,31.1,1,14069,N,4.3,196.6,0,0,4.1,0,94.2,0,0,0,294.9,4.1,0,0,94.2,0,0,0,0,98.3,41,20.5,0,315.4,0,421.9,0,0,16.4,774.2,8.2,0,32.8,41,0,585.8,98.3,0,684.1,0,0,0,4.1,4.1,0,0,0,0,0,0,0,1286.2,98.3,98.3,8.2
STN,2018,4,7,2018-07-26,610,08:11:00,10,Suisun Bay (Mont. Sl.),2,4,7438,4.08,7404,4.06,21.7,21.3,34,37.7,1,16445,N,5,456.6,0,0,0,0,84.1,0,0,12,552.7,0,0,0,80.1,0,0,0,0,80.1,4,4,0,120.1,0,92.1,0,0,0,216.3,0,0,0,0,0,96.1,12,0,108.1,0,0,0,8,8,0,0,0,0,0,0,0,264.3,36,52.1,8
FRP,2018,4,7,2018-07-26,Grizz,11:40:00,10,Suisun Bay (Grizzly),3,1.2,17293,10.16,NA,NA,20.1,NA,21,114,NA,5829,N,1.8,171.7,0,0,0,0,21.5,0,0,21.5,214.7,0,0,0,53.7,171.7,0,0,0,225.4,139.5,0,0,21.5,0,440.1,0,0,236.1,697.7,0,0,0,0,0,150.3,0,0,150.3,0,0,0,0,0,0,0,0,0,0,0,0,171.7,0,0,0
STN,2018,4,7,2018-07-26,Mont,09:33:00,10,Suisun Bay (Mont. Sl.),2,4.9,8957,4.99,8980,5,21.8,21.7,38,35.2,1,24275,N,7.4,317.4,0,0,2.4,0,74.6,0,0,4.8,399.2,0,0,0,14.4,0,0,0,0,14.4,12,12,0,139.5,0,365.5,0,0,7.2,524.3,4.8,0,2.4,7.2,0,180.4,19.2,0,199.6,0,0,0,0,0,0,0,0,0,0,0,0,276.6,396.8,74.6,4.8
STN,2018,4,7,2018-07-27,405,10:07:00,10,Suisun Bay (Carquinez St.),2,3.7,19401,11.51,19939,11.86,19.7,19.6,18,134,1,13680,N,4.2,303.3,24.1,0,0,0,24.1,14.4,0,110.7,476.6,0,0,0,105.9,418.9,0,0,0,524.8,77,4.8,0,173.3,0,346.6,19.3,0,390,934,0,0,0,0,0,120.4,0,0,120.4,0,0,0,0,0,0,0,0,0,0,0,0,183,67.4,0,0
STN,2018,4,7,2018-07-27,Honk,12:09:00,10,Suisun Bay (Honker),2,0.9,11239,6.37,12550,7.18,20.6,20.6,18,79.8,1,9630,N,2.9,287.2,0,0,0,0,12,0,0,35.9,335.1,0,0,0,119.7,12,0,0,0,131.7,6,0,0,6,0,191.5,0,0,35.9,233.4,6,0,0,6,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,83.8,6,12,6
EMP,2018,8,8,2018-08-02,NZ060,07:02:00,10,WestDel,1,11.4,4508,2.38,NA,NA,21.1,NA,68,NA,NA,34219,N,5.6,1481.3,0,0,0,0,133.6,0,0,0,1614.9,0,0,0,10,0,0,0,0,10,0,0,0,6.7,0,177,0,0,0,183.7,0,0,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3.2,0,0
EMP,2018,8,8,2018-08-02,NZ064,07:49:00,10,SacR,1,8.7,532,0.24,NA,NA,21.6,NA,56,NA,NA,25691,N,10,1238.3,0,0,0,0,299.7,0,0,0,1538,0,0,0,0,0,0,0,0,0,0,0,0,111.5,0,2.3,0,0,0,113.8,0,0,2.3,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EMP,2018,8,8,2018-08-02,NZ068,08:40:00,10,SacR,1,5.4,200,0.08,NA,NA,22.2,NA,156,NA,NA,17751,N,5.4,37,0,0,0,0,53.8,0,3.4,0,94.2,0,0,0,3.4,0,0,0,3.4,6.7,3.4,0,0,2155.4,0,0,0,0,0,2155.4,0,0,6.7,6.7,0,3.4,131.1,0,134.5,26.9,3.4,10.1,6.7,47.1,3.4,0,0,0,0,0,3.4,0,0,0,0
STN,2018,5,8,2018-08-06,704,09:15:00,10,Lower Sacramento River,4,10.4,145,0.06,126,0.05,21.8,21.2,120,8.9,1,14737,N,4.5,338.9,0,0,0,0,1001.8,0,0,0,1340.7,0,0,0,0,0,0,0,0,0,0,0,0,8513.8,3.7,0,0,3.7,0,8521.2,0,0,18.6,18.6,0,108,350.1,0,458.1,29.8,0,37.2,14.9,81.9,0,0,0,0,0,0,0,0,0,0,0
STN,2018,5,8,2018-08-06,706,09:54:00,10,Lower Sacramento River,4,8.8,143,0.06,154,0.06,21.9,21.6,159,6.2,1,14657,N,4.5,32.4,0,0,0,0,477.2,0,0,0,509.6,0,0,0,0,0,0,0,0,0,0,0,0,3154.5,0,0,0,4,0,3158.5,0,0,16.2,16.2,0,0,80.9,0,80.9,20.2,0,32.4,12.1,64.7,0,0,0,0,0,0,0,0,0,0,0
STN,2018,5,8,2018-08-06,707,10:51:00,10,Lower Sacramento River,4,8.5,145,0.06,153,0.06,22,22,164,6.2,1,14781,N,4.5,12.7,0,0,0,0,1413.8,0,0,0,1426.5,0,0,0,0,0,0,0,8.5,8.5,0,0,0,4398.2,0,0,0,0,0,4398.2,0,0,16.9,16.9,0,0,46.6,0,46.6,25.4,0,21.2,42.3,88.9,0,0,0,0,0,0,0,0,0,4.2,0
EMP,2018,8,8,2018-08-07,NZ054,12:28:00,10,SuiBay,1,12.5,7906,4.36,NA,NA,21.1,NA,44,NA,NA,28634,N,6.5,889.6,0,0,0,0,84.5,4,0,4,982.2,4,0,0,692.3,4,0,0,0,700.4,4,0,0,44.3,0,406.6,0,0,16.1,466.9,8.1,0,0,8.1,40.3,12.1,0,52.3,4,0,0,0,4,0,0,0,0,0,0,0,32.2,8.1,0,0,0
STN,2018,5,8,2018-08-08,501,11:06:00,10,Suisun Bay,4,7,12998,7.45,14228,8.22,20.5,20.1,53,27,2,14028,N,4.3,1173.1,0,0,0,0,22.3,4.5,0,8.9,1208.7,0,0,0,8.9,26.8,0,0,0,35.7,4.5,0,0,13.4,0,1289,0,0,156.1,1458.5,4.5,0,0,4.5,0,111.5,0,0,111.5,0,0,0,0,0,0,0,0,0,0,0,0,84.7,0,0,0
STN,2018,5,8,2018-08-08,504,12:03:00,10,Suisun Bay,4,7.9,9487,5.3,11119,6.3,21,20.7,72,16.7,2,13128,N,4,915.1,0,0,0,0,23.8,0,0,4.8,943.7,0,0,0,4.8,0,0,0,0,4.8,0,0,0,19.1,0,972.3,0,0,109.6,1101,0,0,0,0,0,28.6,0,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0,71.5,4.8,0,0
STN,2018,5,8,2018-08-08,508,13:01:00,10,Suisun Bay,4,11.6,6402,3.47,6914,3.77,21.6,21.6,46,24.5,1,12603,N,3.8,710.4,0,0,0,0,279.4,9.5,0,4.7,1004,0,0,0,33.2,0,0,0,0,33.2,0,0,0,14.2,0,279.4,0,0,18.9,312.6,0,0,0,0,0,47.4,4.7,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,4.7,9.5,4.7,4.7
STN,2018,5,8,2018-08-08,513,08:36:00,10,Confluence,2,12.8,2654,1.35,3404,1.76,20.7,20.5,66,19.2,2,12405,N,3.8,594.6,0,0,0,0,213.7,0,0,0,808.3,0,0,0,9.3,0,0,0,9.3,18.6,4.6,0,0,292.7,0,116.1,0,0,0,408.8,0,0,18.6,18.6,0,4.6,18.6,0,23.2,0,0,9.3,13.9,23.2,0,0,4.6,0,0,0,4.6,13.9,0,18.6,0
STN,2018,5,8,2018-08-08,519,09:26:00,10,Suisun Bay (Honker),4,1.8,10540,5.94,12401,7.08,20,19.3,47,40.3,2,13529,N,4.1,60.1,0,0,0,0,60.1,0,0,0,120.2,0,0,0,9.2,4.6,0,0,0,13.9,4.6,0,0,55.5,0,185,0,0,143.4,383.9,0,0,0,0,0,23.1,0,0,23.1,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0
STN,2018,5,8,2018-08-08,520,14:14:00,10,Confluence,4,12.8,4620,2.45,4741,2.51,22.4,22.3,57,14.7,2,12355,N,3.8,1385.3,0,0,0,0,102.6,4.7,0,0,1492.6,0,0,0,37.3,0,0,0,9.3,46.6,4.7,0,0,116.6,0,387.1,0,0,4.7,508.4,0,0,4.7,4.7,0,28,23.3,0,51.3,0,0,0,4.7,4.7,0,0,0,0,0,0,0,42,42,0,0
