station,date,time,kingdom,phylum,class,phyto_form,genus,taxon,organisms_per_ml,cells_per_ml,biovolume_per_ml_old,biovolume_per_ml_new
704,2020-08-14,06:22:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,229.98462664714492,229.98462664714492,296737.8975059055,296737.8975059055
704,2020-08-14,06:22:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,689.9538799414348,689.9538799414348,462911.12010921264,154303.70670307087
704,2020-08-14,06:22:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Entomoneis,Entomoneis sp.,229.98462664714492,229.98462664714492,351053.14329360076,351053.14329360076
704,2020-08-14,06:22:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,cf. Thalassiosira sp.,229.98462664714492,229.98462664714492,8412.81201384073,8412.81201384073
704,2020-08-14,06:22:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,689.9538799414348,689.9538799414348,74694.93292185722,24898.310973952404
704,2020-08-14,06:22:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,96823.527818448,193647.055636896,14674573.876163976,34856.47001464129
704,2020-08-26,06:31:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,153.32308443142998,153.32308443142998,4069265.7011309853,4069265.7011309853
704,2020-08-26,06:31:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,306.64616886285995,306.64616886285995,397060.8839789759,198530.4419894879
704,2020-08-26,06:31:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Hantzschia,Hantzschia sp.,153.32308443142998,153.32308443142998,57183.37756954612,57183.377569546115
704,2020-08-26,06:31:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia amphibia,153.32308443142998,153.32308443142998,49043.761663250356,49043.761663250356
704,2020-08-26,06:31:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia incognita,766.6154221571499,766.6154221571499,221551.85700341628,44310.37140068326
704,2020-08-26,06:31:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,613.2923377257199,613.2923377257199,76193.79527485456,19048.44881871364
704,2020-08-26,06:31:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,66848.86481210346,133697.72962420693,10492597.82090776,24065.59133235725
706,2020-08-26,07:26:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,65.70989332775571,65.70989332775571,113043.00857367832,113043.00857367832
706,2020-08-26,07:26:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula sp.,65.70989332775571,65.70989332775571,56139.602230847006,56139.60223084699
706,2020-08-26,07:26:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia amphibia,131.41978665551142,131.41978665551142,39221.18396904415,19610.59198452207
706,2020-08-26,07:26:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sociabilis,65.70989332775571,65.70989332775571,12504.001311231963,12504.001311231963
706,2020-08-26,07:26:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sp.,131.41978665551142,131.41978665551142,25674.69520016733,12837.347600083664
706,2020-08-26,07:26:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,cf. Thalassiosira sp.,131.41978665551142,131.41978665551142,51618.08832144364,25809.044160721816
706,2020-08-26,07:26:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,26283.95733110228,52567.91466220456,3784889.8556787283,9462.224639196822
610,2020-08-26,07:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,85.17949135079442,85.17949135079442,381421.75394696253,381421.7539469626
610,2020-08-26,07:25:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gyrosigma,Gyrosigma sp.,85.17949135079442,85.17949135079442,250515.35426793553,250515.35426793553
610,2020-08-26,07:25:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Pinnularia,Pinnularia cf. hustedtii,85.17949135079442,85.17949135079442,5103256.0217867335,5103256.0217867335
610,2020-08-26,07:25:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Rhizosolenia,cf. Rhizosolenia sp.,85.17949135079442,85.17949135079442,250945.01208832755,250945.01208832755
610,2020-08-26,07:25:00.000000,Chromista,Ochrophyta,Fragilariophyceae,i,Synedra,Synedra sp.,85.17949135079442,85.17949135079442,291408.9302585387,291408.9302585387
610,2020-08-26,07:25:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,34071.796540317766,68143.59308063553,4906338.701805758,12265.846754514398
609,2020-08-26,07:55:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,cf. Cyclotella sp.,176.91125126703457,176.91125126703457,120049.04545948865,120049.04545948865
609,2020-08-26,07:55:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Skeletonema,Skeletonema ardens,530.7337538011037,530.7337538011037,3504926.9210174265,1168308.9736724757
609,2020-08-26,07:55:00.000000,Chromista,Ochrophyta,Fragilariophyceae,i,Synedra,Synedra sp.,176.91125126703457,176.91125126703457,633093.6473612959,633093.6473612959
609,2020-08-26,07:55:00.000000,Plantae,Chlorophyta,Chlorophyceae,i,Dictyochloris,Dictyochloris fragrans,176.91125126703457,176.91125126703457,126684.25624290579,126684.25624290579
609,2020-08-26,07:55:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,70056.85550174568,140113.71100349136,9987305.320328865,25220.467980628448
605,2020-09-16,10:20:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella cf. atomus,104.53846665779317,104.53846665779317,13686.614327655512,13686.614327655512
605,2020-09-16,10:20:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,cf. Cyclotella sp.,209.07693331558633,209.07693331558633,437971.6584849764,218985.8292424882
605,2020-09-16,10:20:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia cf. acicularis,104.53846665779317,104.53846665779317,52264.00640556368,52264.006405563676
605,2020-09-16,10:20:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,cf. Thalassiosira sp.,209.07693331558633,209.07693331558633,24606.643834949173,12303.321917474586
605,2020-09-16,10:20:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,41501.771263143884,83003.54252628777,5931433.148928523,14940.637654731796
605,2020-09-16,10:20:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis sp.,104.53846665779317,209.07693331558633,875.7786705798837,875.7786705798836
704,2020-09-15,16:43:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,69.69231110519544,69.69231110519544,142368.77013614235,142368.77013614235
704,2020-09-15,16:43:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,69.69231110519544,69.69231110519544,63187.43108233862,63187.43108233862
704,2020-09-15,16:43:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella meneghiniana,69.69231110519544,69.69231110519544,100845.91391727362,100845.9139172736
704,2020-09-15,16:43:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,69.69231110519544,69.69231110519544,14986.76250029826,14986.762500298262
704,2020-09-15,16:43:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Encyonema,Encyonema cf. lange-bertalotii,69.69231110519544,69.69231110519544,67194.04726092574,67194.04726092574
704,2020-09-15,16:43:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Entomoneis,Entomoneis cf. paludosa,139.3846222103909,139.3846222103909,1689022.3651870112,844511.1825935056
704,2020-09-15,16:43:00.000000,Chromista,Bacillariophyta,Mediophyceae,i,Lindavia,cf. Lindavia sp.,69.69231110519544,69.69231110519544,49905.919125993205,49905.919125993205
704,2020-09-15,16:43:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula sp.,69.69231110519544,69.69231110519544,15286.497750304226,15286.497750304226
704,2020-09-15,16:43:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,cf. Thalassiosira sp.,1045.3846665779317,1045.3846665779317,2162823.004864081,144188.20032427204
704,2020-09-15,16:43:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,69.69231110519544,69.69231110519544,2335.409788213023,2335.409788213023
704,2020-09-15,16:43:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,26692.155153289856,53384.31030657971,3680314.352535605,9609.175855184347
609,2020-10-21,11:20:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,131.41978665551142,131.41978665551142,6775797.933906278,6775797.933906277
609,2020-10-21,11:20:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,262.83957331102283,262.83957331102283,221395.0212985103,110697.51064925514
609,2020-10-21,11:20:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Entomoneis,Entomoneis paludosa,131.41978665551142,131.41978665551142,835468.7553086441,835468.755308644
609,2020-10-21,11:20:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gyrosigma,Gyrosigma sp.,131.41978665551142,131.41978665551142,486486.61216649244,486486.61216649244
609,2020-10-21,11:20:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia acicularis,131.41978665551142,131.41978665551142,60262.54317088477,60262.54317088476
609,2020-10-21,11:20:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia cf. sigma,131.41978665551142,131.41978665551142,127761.05979502195,127761.05979502194
609,2020-10-21,11:20:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sp.,262.83957331102283,262.83957331102283,16611.461033256644,8305.73051662832
609,2020-10-21,11:20:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Chroomonas,Chroomonas sp.,131.41978665551142,131.41978665551142,57988.833916024145,57988.83391602414
609,2020-10-21,11:20:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Cryptomonas,Cryptomonas marssonii,394.2593599665342,394.2593599665342,525647.5126650787,175215.8375550263
609,2020-10-21,11:20:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Cryptomonas,Cryptomonas sp.,262.83957331102283,262.83957331102283,317592.7774550528,158796.38872752638
609,2020-10-21,11:20:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,394.2593599665342,394.2593599665342,304593.10671380477,101531.03557126825
609,2020-10-21,11:20:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,50465.19807571638,100930.39615143275,6976308.981987031,18167.471307257896
609,2020-10-21,11:20:00.000000,Protozoa,Euglenozoa,Euglenophyceae,i,Euglena,Euglena viridis,131.41978665551142,131.41978665551142,423911.2821512937,423911.2821512937
609,2020-09-10,10:22:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,46341.9022693997,92683.8045387994,6723283.181244508,16683.08481698389
609,2020-09-10,10:22:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Eucapsis,Eucapsis sp.,114.99231332357246,114.99231332357246,481.678268818936,481.678268818936
605,2020-10-22,10:37:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Tryblionella,cf. Tryblionella sp.,1149.9231332357247,1149.9231332357247,8486328.15961922,4243164.07980961
605,2020-10-22,10:37:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,247808.4352122987,495616.8704245974,38449956.80754027,89211.03667642752
802,2020-09-16,15:23:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,153.32308443142998,153.32308443142998,68169.51699459994,68169.51699459992
802,2020-09-16,15:23:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Entomoneis,Entomoneis paludosa,153.32308443142998,153.32308443142998,1078236.8047511883,1078236.8047511883
802,2020-09-16,15:23:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Cryptomonas,Cryptomonas marssonii,459.9692532942899,459.9692532942899,379475.5329017997,126491.84430059991
802,2020-09-16,15:23:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,306.64616886285995,306.64616886285995,229759.89198894077,114879.94599447038
802,2020-09-16,15:23:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,1226.5846754514398,1533.2308443142997,1189379.2484984698,148672.40606230873
802,2020-09-16,15:23:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,62095.84919472913,124191.69838945827,9053574.812591508,22354.505710102487
802,2020-09-16,15:23:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Microcystis,Microcystis sp.,153.32308443142998,1073.2615910200097,98688.81266639062,98688.81266639062
609,2020-09-23,12:26:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,139.3846222103909,139.3846222103909,4231586.0668398775,4231586.0668398775
609,2020-09-23,12:26:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,278.7692444207818,278.7692444207818,165914.07969468256,82957.03984734128
609,2020-09-23,12:26:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula rostellata,139.3846222103909,139.3846222103909,323957.0985875284,323957.0985875284
609,2020-09-23,12:26:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,139.3846222103909,139.3846222103909,61503.30869881348,61503.30869881348
609,2020-09-23,12:26:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,56172.00275078753,112344.00550157505,8149434.159084254,20221.920990283506
606,2020-10-22,09:37:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,114.99231332357246,114.99231332357246,1433835.7867067677,1433835.7867067677
606,2020-10-22,09:37:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella cf. bodanica,114.99231332357246,114.99231332357246,10620654.954943595,10620654.954943595
606,2020-10-22,09:37:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,114.99231332357246,114.99231332357246,15055.275760421062,15055.275760421062
606,2020-10-22,09:37:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cymbella,Cymbella sp.,114.99231332357246,114.99231332357246,134936.64615951112,134936.64615951112
606,2020-10-22,09:37:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Diploneis,Diploneis sp.,114.99231332357246,114.99231332357246,212158.20399048046,212158.20399048048
606,2020-10-22,09:37:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Entomoneis,Entomoneis paludosa,114.99231332357246,114.99231332357246,1887580.3285212216,1887580.3285212219
606,2020-10-22,09:37:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gyrosigma,Gyrosigma sp.,114.99231332357246,114.99231332357246,319988.65031625185,319988.65031625185
606,2020-10-22,09:37:00.000000,Chromista,Bacillariophyta,Mediophyceae,i,Lindavia,cf. Lindavia sp.,114.99231332357246,114.99231332357246,82344.76655788878,82344.76655788877
606,2020-10-22,09:37:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Navicula,Navicula sp.,114.99231332357246,114.99231332357246,123787.82291901759,123787.8229190176
606,2020-10-22,09:37:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,46686.879209370425,93373.75841874085,6823754.26524158,16807.27651537335
706,2020-10-21,08:54:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,143.74039165446558,143.74039165446558,130324.07660732338,130324.07660732338
706,2020-10-21,08:54:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella gamma,143.74039165446558,143.74039165446558,2363588.679649438,2363588.6796494382
706,2020-10-21,08:54:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gyrosigma,Gyrosigma sp.,143.74039165446558,143.74039165446558,248169.94229730967,248169.94229730964
706,2020-10-21,08:54:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia sp.,143.74039165446558,143.74039165446558,6254.431921669106,6254.431921669106
706,2020-10-21,08:54:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Tryblionella,Tryblionella cf. compressa,143.74039165446558,143.74039165446558,176480.5204057504,176480.5204057504
706,2020-10-21,08:54:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Chroococcus,Chroococcus sp.,1724.884699853587,2156.105874816984,1498212.0873344184,124851.0072778682
706,2020-10-21,08:54:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,55340.05078696925,110680.1015739385,7670131.039073938,19922.41828330893
NZS42,2020-10-22,10:09:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,95.82692776964373,95.82692776964373,5136665.226512015,2568332.6132560074
NZS42,2020-10-22,10:09:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,143.74039165446558,143.74039165446558,239606.64013912744,79868.88004637582
NZS42,2020-10-22,10:09:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Entomoneis,Entomoneis paludosa,287.48078330893117,287.48078330893117,19754203.818187147,3292367.3030311917
NZS42,2020-10-22,10:09:00.000000,Chromista,Bacillariophyta,Mediophyceae,i,Lindavia,Lindavia sp.,47.913463884821866,47.913463884821866,34310.31939912033,34310.31939912032
NZS42,2020-10-22,10:09:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Stauroforma,cf. Stauroforma sp.,47.913463884821866,47.913463884821866,19061.28855506685,19061.28855506685
NZS42,2020-10-22,10:09:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Tryblionella,Tryblionella cf. victoriae,47.913463884821866,47.913463884821866,65496.20260265482,65496.20260265482
NZS42,2020-10-22,10:09:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,18638.337451195704,37276.67490239141,2610112.7766654463,6709.801482430454
610,2020-10-21,10:43:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,cf. Cyclotella sp.,164.27473331938924,164.27473331938924,406416.0393159773,406416.0393159773
610,2020-10-21,10:43:00.000000,Chromista,Bacillariophyta,Mediophyceae,i,Lindavia,Lindavia sp.,164.27473331938924,164.27473331938924,91278.72005300094,91278.72005300094
610,2020-10-21,10:43:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,164.27473331938924,164.27473331938924,56911.01857975818,56911.01857975819
610,2020-10-21,10:43:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,164.27473331938924,164.27473331938924,4356.865955443851,4356.865955443852
610,2020-10-21,10:43:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,65052.794394478144,130105.58878895629,9273926.368876804,23419.00598201213
704,2020-10-21,09:12:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Actinocyclus,Actinocyclus sp.,54.75824443979642,54.75824443979642,235270.76159396797,235270.76159396797
704,2020-10-21,09:12:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Cocconeis,Cocconeis placentula,54.75824443979642,54.75824443979642,27926.58784442644,27926.58784442644
704,2020-10-21,09:12:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,Cyclotella sp.,54.75824443979642,54.75824443979642,63233.17487897157,63233.17487897157
704,2020-10-21,09:12:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Gyrosigma,Gyrosigma sp.,109.51648887959284,109.51648887959284,844394.9086913478,422197.45434567385
704,2020-10-21,09:12:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia cf. soratensis,54.75824443979642,54.75824443979642,810.422017708987,810.422017708987
704,2020-10-21,09:12:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Thalassiosira,cf. Thalassiosira sp.,54.75824443979642,54.75824443979642,4990.186864964177,4990.186864964177
704,2020-10-21,09:12:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,54.75824443979642,54.75824443979642,24162.014131676726,24162.014131676726
704,2020-10-21,09:12:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,i,Chroococcus,Chroococcus sp.,273.7912221989821,273.7912221989821,42518.85897034295,8503.77179406859
704,2020-10-21,09:12:00.000000,Bacteria,Cyanobacteria,Cyanophyceae,c,Eucapsis,Eucapsis microscopica,21355.7153315206,42711.4306630412,2998342.4325454924,7688.057519347418
MON,2020-10-21,11:02:00.000000,Chromista,Ochrophyta,Coscinodiscophyceae,i,Cyclotella,cf. Cyclotella sp.,124.31601440386214,124.31601440386214,64591.68892380241,32295.8444619012
MON,2020-10-21,11:02:00.000000,Chromista,Bacillariophyta,Bacillariophyceae,i,Nitzschia,Nitzschia reversa,62.15800720193107,62.15800720193107,53620.60491274585,53620.60491274585
MON,2020-10-21,11:02:00.000000,Chromista,Cryptophyta,Cryptophyceae,i,Plagioselmis,Plagioselmis nannoplanctica,248.63202880772428,248.63202880772428,408775.61191661056,102193.90297915264
